Table
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"26,081 ","26,614 ","28,491 ","27,062 "
Corporativos ,63 ,63 ,67 ,64 
Project Finance ,0 ,0 ,0 ,0 
Empresas ,0 ,0 ,0 ,0 


Table
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,6.7 ,6.8 ,6.7 ,6.7 
Corporativos ,6.0 ,6.2 ,6.1 ,6.1 
Project Finance ,4.7 ,5.5 ,5.5 ,5.2 
Empresas ,5.6 ,5.6 ,5.5 ,5.6 


Table
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones Financieras ",2.91 ,2.90 ,2.48 ,2.76 
Corporativos ,8.95 ,6.01 ,5.89 ,6.95 
Project Finance ,7.41 ,5.78 ,5.13 ,6.11 
Empresas ,4.78 ,3.29 ,3.01 ,3.69 


Table
Tipo de Derivado ,Porcentaje de productos cierre del cuarto trimestre de 2020 
Derivados sobre tasas de interés ,40.94% 
Derivados sobre tipo de cambio ,58.80% 
Derivados sobre renta fija ,0.00% 
Derivados sobre acciones ,0.26% 
Total ,100.00% 


