Table
Porcentajes ,4T20 ,3T20 ,4T19 ,12M20 ,12M19 
Índice de morosidad ,3.08 ,2.09 ,2.28 ,3.08 ,2.28 
Índice de cobertura de cartera de crédito vencida ,116.87 ,167.94 ,132.02 ,116.87 ,132.02 
Eficiencia operativa ,2.39 ,2.20 ,2.88 ,2.20 ,2.71 
ROE ,14.13 ,13.50 ,14.13 ,12.99 ,15.32 
ROA ,1.18 ,1.06 ,1.37 ,1.09 ,1.49 
Índice de capitalización desglosado: ,,,,,
Riesgo de crédito ,28.04 ,26.31 ,23.31 ,28.04 ,23.31 
"Riesgo de crédito, mercado y operacional ",19.01 ,17.16 ,16.37 ,19.01 ,16.37 
Liquidez ,122.20 ,118.03 ,93.63 ,122.20 ,93.63 
MIN ,3.15 ,2.68 ,3.65 ,2.63 ,3.71 


