Table
Millones de pesos ,,4T20 ,,,4T19 ,,Variación ,AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Depósitos de exigibilidad ,,,,,,,,,
inmediata ,"482,070 ","1,773 ",1.44 ,"419,468 ","2,760 ",2.57 ,14.9 ,(35.8) ,(113) 
Depósitos a plazo ,"284,077 ","2,626 ",3.62 ,"269,265 ","4,450 ",6.47 ,5.5 ,(41.0) ,(285) 
Titulos de crédito emitidos ,"82,274 ","1,268 ",6.03 ,"53,229 ",839 ,6.17 ,54.6 ,51.1 ,(14) 
Préstamos bancarios y de ,,,,,,,,,
otros organismos ,"52,336 ",662 ,4.95 ,"52,030 ","1,101 ",8.28 ,0.6 ,(39.9) ,(333) 
Obligaciones subordinadas ,"26,711 ",422 ,6.18 ,"25,008 ",395 ,6.18 ,6.8 ,6.8 ,0 
Reportos ,"372,094 ","3,518 ",3.70 ,"294,806 ","5,272 ",7.00 ,26.2 ,(33.3) ,(330) 
Gastos por intereses ,"1,299,562 ","10,269 ",3.09 ,"1,113,806 ","14,817 ",5.21 ,16.7 ,(30.7) ,(212) 


