Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"407,941 ","399,587 "
Créditos de consumo ,"108,173 ","106,435 "
Créditos a la vivienda ,,
Media y residencial ,"153,753 ","149,596 "
De interés social ,6 ,6 
Créditos adquiridos al Infonavit o el Fovissste ,"11,256 ","11,256 "
Total de cartera de crédito vigente ,"681,129 ","666,880 "
Cartera de crédito vencida: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"6,245 ","14,149 "
Créditos de consumo ,"7,539 ","8,992 "
Créditos a la vivienda ,,
Media y residencial ,"6,079 ","9,961 "
De interés social ,10 ,10 
Créditos adquiridos al Infonavit o el Fovissste ,"1,767 ","1,767 "
Total de cartera de crédito vencida ,"21,640 ","34,879 "
Cartera de crédito ,"702,769 ","701,759 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"(7,445) ","(7,063) "
Créditos de consumo ,"(13,906) ","(13,697) "
Créditos a la vivienda ,,
Media y residencial ,"(3,643) ","(4,142) "
De interés social ,(0) ,- 
Créditos adquiridos al Infonavit o el Fovissste ,(297) ,(337) 
Total de estimación preventiva para riesgos crediticios ,"(25,291) ","(25,239) "
Total de cartera de crédito (Neto) ,"677,478 ","676,520 "


