Table
,Número de créditos ,Millones de pesos 
Créditos comerciales ,,
Actividad empresarial o comercial ,776 ,62 
Créditos de consumo ,"306,693 ","17,972 "
Total ,"307,469 ","18,034 "


Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"1,981 ","1,981 "
Créditos de consumo ,"72,918 ","71,913 "
Total de cartera de crédito vigente ,"74,899 ","73,894 "
Cartera de crédito vencida: Créditos comerciales ,,


