Table
,Principales características de los títulos que forman parte del ,Capital Neto 
,,
Referencia ,Característica ,Opciones 
1 ,Emisor ,"Banco Santander México, S. A. "
2 ,"Identificador ISIN, CUSIP o Bloomberg ",MX41BS060013 
3 ,Marco legal ,Ley del Mercado de Valores 
,Tratamiento regulatorio ,
4 ,Nivel de capital con transitoriedad ,N.A 
5 ,Nivel de capital sin transitoriedad ,Básico | 
6 ,Nivel del instrumento ,Institución de Crédito sin consolidar Subsidiarias 
7 ,Tipo de instrumento ,Acciones Serie F 
8 ,Monto reconocido en el capital regulatorio ,"$15,210,402,155.77 "
9 ,Valor nominal del instrumento ,$3.78 
9A ,Moneda del instrumento ,Pesos Mexicanos 
10 ,Clasificación contable ,Capital 
11 ,Fecha de emisión ,N.A 
12 ,Plazo del instrumento ,Perpetuidad 
13 ,Fecha de vencimiento ,Sin vencimiento 
14 ,Cláusula de pago anticipado ,No 
15 ,Primera fecha de pago anticipado ,N.A 
15A ,Eventos regulatorios o fiscales ,No 


Table
Grupo IX (ponderados al 100%) ,"41,861 ","3,349 "
Grupo IX (ponderados al 115%) ,0 ,0 
Grupo IX (ponderados al 150%) ,0 ,0 
Grupo X (ponderados al 1250%) ,"1,389 ",111 
Otros Activos (ponderados al 0%) ,0 ,0 
Otros Activos (ponderados al 100%) ,"24,121 ","1,930 "
Ajuste por Valuación Crediticia en Operaciones Derivadas ,"26,384 ","2,111 "
Bursatilizaciones con Grado de Riesgo 1 (ponderados al 20%) ,"2,888 ",231 
Bursatilizaciones con Grado de Riesgo 2 (ponderados al 50%) ,0 ,0 
Bursatilizaciones con Grado de Riesgo 3 (ponderados al 100%) ,0 ,0 
Bursatilizaciones con Grado de Riesgo 4 (ponderados al 350%) ,0 ,0 
"Bursatilizaciones con grado de Riesgo 4, o 5 o No calificados (ponderados al 1250%) ","1,049 ",84 
Rebursatilizaciones con Grado de Riesgo 1 (ponderados al 40%) ,0 ,0 
Rebursatilizaciones con Grado de Riesgo 2 (ponderados al 100%) ,0 ,0 
Rebursatilizaciones con Grado de Riesgo 3 (ponderados al 225%) ,0 ,0 
Rebursatilizaciones con Grado de Riesgo 4 (ponderados al 650%) ,0 ,0 
"Rebursatilizaciones con grado de Riesgo 4, 5 o No Calificados (ponderados al 1250%) ",0 ,0 


Table
,Tabla III.3 ,
Activos ponderados ,sujetos a riesgo de operacional ,
Método empleado ,Activos ponderados por riesgo ,Requerimiento de capital 
Método estándar alternativo ,"64,166 ","5,133 "
,,
Promedio del requerimiento por riesgo de mercado y de crédito de los últimos 36 meses ,Promedio de los ingresos netos anuales positivos de los últimos 36 meses ,
,"60,902 ",


