Table
36 ,Capital adicional de nivel 1 antes de ajustes regulatorios ,"9,948 "
,Capital adicional de nivel 1: ajustes regulatorios ,
37 (conservador) ,Inversiones en instrumentos propios de capital adicional de nivel 1 ,
38 (conservador) ,Inversiones en acciones recíprocas en instrumentos de capital adicional de nivel 1 ,
39 (conservador) ,"Inversiones en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución no posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",
40 (conservador) ,"Inversiones significativas en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución posea más del 10% del capital social emitido ",
41 ,Ajustes regulatorios nacionales ,0 
42 ,Ajustes regulatorios aplicados al capital adicional de nivel 1 debido a la insuficiencia del capital de nivel 2 para cubrir deducciones ,
43 ,Ajustes regulatorios totales al capital adicional de nivel 1 ,0 
44 ,Capital adicional de nivel 1 (AT1) ,"9,948 "
45 ,Capital de nivel 1 (T1 = CET1 + AT1) ,"124,255 "
,Capital de nivel 2: instrumentos y reservas ,
46 ,"Instrumentos emitidos directamente que califican como capital de nivel 2, más su prima ","26,233 "
47 ,Instrumentos de capital emitidos directamente sujetos a eliminación gradual del capital de nivel 2 ,0 
48 ,"Instrumentos de capital de nivel 2 e instrumentos de capital común de nivel 1 y capital adicional de nivel 1 que no se hayan incluido en los renglones 5 o 34, los cuales hayan sido emitidos por subsidiarias en tenencia de terceros (monto permitido en el capital complementario de nivel 2) ",0 
49 ,de los cuales: Instrumentos emitidos por subsidiarias sujetos a eliminación gradual ,0 
50 ,Reservas ,970 
51 ,Capital de nivel 2 antes de ajustes regulatorios ,"27,203 "
,Capital de nivel 2: ajustes regulatorios ,
52 (conservador) ,Inversiones en instrumentos propios de capital de nivel 2 ,
53 (conservador) ,Inversiones recíprocas en instrumentos de capital de nivel 2 ,
54 (conservador) ,"Inversiones en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución no posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",
55 (conservador) ,"Inversiones significativas en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de consolidación regulatoria, netas de posiciones cortas elegibles, donde la Institución posea más del 10% del capital social emitido ",
56 ,Ajustes regulatorios nacionales ,0 
57 ,Ajustes regulatorios totales al capital de nivel 2 ,0 
58 ,Capital de nivel 2 (T2) ,"27,203 "
59 ,Capital total (TC = T1 + T2) ,"151,458 "
60 ,Activos ponderados por riesgo totales ,"796,836 "
,Razones de capital y suplementos ,
61 ,Capital Común de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,14.35% 
62 ,Capital de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,15.59% 
63 ,Capital Total (como porcentaje de los activos ponderados por riesgo totales) ,19.01% 


