Table
Millones de pesos ,,12M20 ,,,12M19 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
Margen financiero ,"61,006 ","5,636 ","(1,454) ","59,459 ","6,657 ",237 
Estimación preventiva para riesgos crediticios ,"(20,796) ",(467) ,0 ,"(18,149) ",37 ,0 
Margen financiero ajustado por riesgos crediticios ,"40,210 ","5,169 ","(1,454) ","41,310 ","6,694 ",237 
Comisiones y tarifas (neto) ,"16,771 ","1,964 ",(41) ,"16,396 ","1,635 ",(3) 
Resultado por intermediación ,"1,241 ","4,172 ",768 ,"1,207 ","1,978 ",273 
Otros ingresos de la operación ,"(1,845) ",36 ,577 ,"(2,256) ",(6) ,88 
Gastos de administración y ,,,,,,
promoción ,"(34,485) ","(4,981) ","(1,449) ","(33,076) ","(4,618) ","(1,171) "
Resultado de la operación ,"21,892 ","6,360 ","(1,599) ","23,581 ","5,683 ",(576) 


