Table
,,Diciembre 2020 ,,,Diciembre 2019 ,,,Diciembre 2018 ,
,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción 
Utilidad por acción ordinaria ,"20,154 ","6,776,640,349 ",2.97 ,"21,332 ","6,775,455,458 ",3.15 ,"19,584 ","6,776,220,369 ",2.89 
Acciones en tesorería ,,"10,354,008 ",,,"11,538,899 ",,,"10,773,988 ",
Utilidad diluida por acción ,"20,154 ","6,786,994,357 ",2.97 ,"21,332 ","6,786,994,357 ",3.14 ,"19,584 ","6,786,994,357 ",2.89 
Más (pérdida) menos (utilidad): ,,,,,,,,,
Operaciones discontinuadas ,,,,,,,,,
Utilidad continua diluida por acción ,"20,154 ","6,786,994,357 ",2.97 ,"21,332 ","6,786,994,357 ",3.14 ,"19,584 ","6,786,994,357 ",2.89 
Total de acciones en circulación al 31 de diciembre de 2020 ,"6,776,358,355 ",,,,,,,,


