Table
Actividad empresarial o comercial ,16 ,16 
Créditos de consumo ,"5,729 ","6,574 "
Total de cartera de crédito vencida ,"5,745 ","6,590 "
Cartera de crédito ,"80,644 ","80,484 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(41) ,(41) 
Créditos de consumo ,"(10,859) ","(10,534) "
Total de estimación preventiva para riesgos crediticios ,"(10,900) ","(10,575) "
Total de cartera de crédito (Neto) ,"69,744 ","69,909 "


Table
Millones de pesos ,,
,Criterios Contables ,Criterio Contable 
,Especiales ,B-6 
Ingresos por intereses ,"19,101 ","18,941 "
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,134 ,134 
Créditos de consumo ,"18,965 ","18,805 "
Total de ingresos por intereses de cartera de crédito ,"19,099 ","18,939 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,(244) ,(244) 
Créditos de consumo ,"(9,596) ","(9,271) "
Total de estimación preventiva para riesgos crediticios ,"(9,840) ","(9,515) "


Table
Índice de capitalización ,
Criterios Contables Especiales ,27.93% 
Criterio Contable B-6 ,27.91% 
,(2) pb 


