Table
,4T20 ,3T20 ,4T19 ,12M20 ,12M19 
Tarjetas de crédito ,33.7 ,35.8 ,33.9 ,30.6 ,30.5 
Seguros ,28.9 ,27.5 ,28.7 ,27.8 ,27.3 
Manejo de cuentas ,13.6 ,14.1 ,14.7 ,13.8 ,13.5 
Servicios de cobros y pagos ,10.2 ,10.5 ,10.6 ,11.1 ,10.8 
Fondos de inversión ,8.8 ,8.7 ,9.3 ,8.6 ,8.7 
Comercio exterior ,5.7 ,7.3 ,6.9 ,7.5 ,7.1 
Compra venta de valores y operaciones de ,,,,,
mercado de dinero ,4.1 ,4.3 ,4.3 ,4.3 ,4.0 
Asesoría técnica y ofertas públicas ,4.0 ,2.6 ,2.8 ,6.3 ,6.7 
Negociación de cheques ,0.8 ,0.8 ,1.1 ,0.8 ,1.2 
Corresponsalías bancarias ,(4.9) ,(4.7) ,(4.8) ,(4.5) ,(4.5) 
Otras ,(4.9) ,(6.9) ,(7.5) ,(6.3) ,(5.3) 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


