Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"114,274 ","113,264 "
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"37,504 ","37,054 "
Créditos de consumo ,"29,175 ","28,890 "
Créditos a la vivienda ,,
Media y residencial ,"13,552 ","13,277 "
De interés social ,3 ,3 
Créditos adquiridos al Infonavit o el Fovissste ,"1,486 ","1,486 "
Total de ingresos por intereses de cartera de crédito ,"81,720 ","80,710 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"(13,017) ","(12,635) "
Créditos de consumo ,"(8,896) ","(8,687) "
Créditos a la vivienda ,,
Media y residencial ,640 ,141 
De interés social ,10 ,10 
Créditos adquiridos al Infonavit o el Fovissste ,0 ,(40) 
Total de estimación preventiva para riesgos crediticios ,"(21,263) ","(21,211) "


Table
Criterios Contables Especiales ,19.01% 
Criterio Contable B-6 ,18.85% 
,(16) pb 


