Table
Total de cartera de crédito vigente ,252 ,242 
Créditos de consumo ,29 ,34 
Total de cartera de crédito vencida ,29 ,34 
Cartera de crédito ,281 ,276 
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(34) ,(30) 
Total de estimación preventiva para riesgos crediticios ,(34) ,(30) 
Total de cartera de crédito (Neto) ,247 ,246 


Table
Millones de pesos ,,
,Criterios Contables ,Criterio Contable 
,Especiales ,B-6 
Ingresos por intereses ,178 ,173 
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos de consumo ,178 ,173 
Total de ingresos por intereses de cartera de crédito ,178 ,173 
Estimación preventiva para riesgos crediticios ,,
Créditos de consumo ,(62) ,(58) 
Total de estimación preventiva para riesgos crediticios ,(62) ,(58) 


Table
Índice de capitalización ,
Criterios Contables Especiales ,16.67% 
Criterio Contable B-6 ,16.32% 
,(35) pb 


