Table
Millones de pesos ,Importe sin ponderar (promedio) ,Importe ponderado (promedio) 
Activos Líquidos Computables ,,
1 Total de activos líquidos computables ,No aplica ,"251,759 "
Salidas de Efectivo ,,
2 Financiamiento minorista no garantizado ,"270,001 ","15,395 "
3 Financiamiento estable ,"232,099 ","11,605 "
4 Financiamiento menos estable ,"37,902 ","3,790 "
5 Financiamiento mayorista no garantizado ,"435,545 ","165,604 "
6 Depósitos operacionales ,"224,652 ","51,673 "
7 Depósitos no operacionales ,"186,560 ","89,598 "
8 Deuda no garantizada ,"24,333 ","24,333 "
9 Financiamiento mayorista garantizado ,No aplica ,725 
10 Requerimientos adicionales: ,"222,844 ","35,579 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"60,763 ","25,928 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"162,081 ","9,652 "
14 Otras obligaciones de financiamiento contractuales ,"85,217 ",950 


Table
Perfil de Riesgo ,Stress todos los factores 
Escenario Probable ,(5) 
Escenario Remoto ,(46) 
Escenario Posible ,(154) 


