Table
Millones de pesos ,,,,% Variación ,
,Dic-20 ,Sep-20 ,Dic-19 ,TaT ,AaA 
Comercial ,"414,186 ","457,535 ","444,629 ",(9.5) ,(6.8) 
Empresas ,"194,058 ","205,863 ","186,615 ",(5.7) ,4.0 
Corporativos ,"71,641 ","91,726 ","94,506 ",(21.9) ,(24.2) 
Pymes ,"65,371 ","68,655 ","76,344 ",(4.8) ,(14.4) 
Entidades Gubernamentales y Entidades Financieras ,"83,116 ","91,291 ","87,165 ",(9.0) ,(4.6) 
Individuos ,"288,583 ","277,795 ","269,051 ",3.9 ,7.3 
Consumo ,"115,712 ","113,058 ","117,122 ",2.3 ,(1.2) 
Tarjeta de crédito ,"53,809 ","53,296 ","59,478 ",1.0 ,(9.5) 
Otros Consumo ,"61,903 ","59,762 ","57,644 ",3.6 ,7.4 
Hipotecario ,"172,871 ","164,737 ","151,929 ",4.9 ,13.8 
Total ,"702,769 ","735,330 ","713,680 ",(4.4) ,(1.5) 


