Table
Millones de pesos ,Total ,0-1 mes ,1-3 meses ,3-6 meses ,6-12 meses ,1-3 años ,3-5 años ,>5 años ,No sensible 
Mercado de Dinero ,"111,467 ","35,926 ",0 ,0 ,23 ,0 ,0 ,0 ,"75,518 "
Préstamos ,"918,357 ","64,898 ","107,373 ","76,072 ","101,597 ","274,190 ","121,863 ","177,044 ","(4,679) "
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,931 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,931 
Valores ,"599,480 ","91,370 ","7,385 ","8,941 ","27,736 ","116,970 ","54,775 ","109,659 ","182,643 "
Permanentes ,"16,390 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"16,390 "
Otros Activos dentro de Balance ,"2,503,023 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,503,023 "
Total de Activos Dentro de ,,,,,,,,,
Balance ,"4,149,649 ","192,195 ","114,758 ","85,013 ","129,356 ","391,160 ","176,638 ","286,703 ","2,773,827 "
Mercado de Dinero ,"(298,118) ","(117,552) ","(2,041) ",0 ,0 ,0 ,0 ,0 ,"(178,526) "
Depósitos ,"(766,201) ","(306,455) ","(31,611) ","(22,625) ","(24,480) ","(63,506) ","(41,935) ","(275,590) ",0 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 


Table
30/09/2020 ,Plazo ,Monto 
Millones de pesos ,,
Consolidado ,90 días ,"283,483 "
Moneda Nacional ,90 días ,"91,867 "
Moneda Extranjera ,30 días ,"183,686 "


