Table
Millones de pesos ,Dic-20 ,Sep-20 ,Dic-19 
Capital fundamental ,"114,306 ","100,880 ","90,816 "
Capital básico ,"124,255 ","111,944 ","100,236 "
Capital complementario ,"27,203 ","29,324 ","24,847 "
Total capital ,"151,458 ","141,268 ","125,083 "
Activos en riesgo ,,,
Riesgos de crédito ,"540,191 ","537,037 ","536,527 "
"Riesgos de crédito, mercado y operacional ","796,836 ","823,055 ","764,093 "
Riesgos de crédito: ,,,
Capital Fundamental (CET1) (%) ,21.16 ,18.78 ,16.93 
Capital Básico (Tier1) ,23.00 ,20.85 ,18.68 
Capital Complementario (Tier2) (%) ,5.04 ,5.46 ,4.63 
Índice de capitalización (%) ,28.04 ,26.31 ,23.31 
Riesgos totales: ,,,
Capital Fundamental (CET1) (%) ,14.35 ,12.26 ,11.89 
Capital Básico (Tier 1) ,15.59 ,13.60 ,13.12 
Capital Complementario (Tier2) (%) ,3.42 ,3.56 ,3.25 
Índice de capitalización (%) ,19.01 ,17.16 ,16.37 


