Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,4T20 ,3T20 ,4T19 ,TaT ,AaA ,12M20 ,12M19 ,20/19 
Remuneraciones y prestaciones al ,,,,,,,,
personal ,"4,024 ","3,762 ","3,843 ",7.0 ,4.7 ,"15,263 ","15,698 ",(2.8) 
Tarjeta de crédito ,41 ,55 ,84 ,(25.5) ,(51.2) ,202 ,323 ,(37.5) 
Honorarios profesionales ,421 ,327 ,326 ,28.7 ,29.1 ,"1,155 ",775 ,49.0 
Rentas ,646 ,633 ,652 ,2.1 ,(0.9) ,"2,588 ","2,454 ",5.5 
Gastos de promoción y publicidad ,159 ,254 ,219 ,(37.4) ,(27.4) ,833 ,901 ,(7.5) 
Impuestos y derechos ,705 ,464 ,483 ,51.9 ,46.0 ,"2,362 ","1,972 ",19.8 
Gastos de tecnología ,"1,743 ","1,454 ","1,174 ",19.9 ,48.5 ,"5,403 ","4,036 ",33.9 
Depreciaciones y amortizaciones ,"1,169 ","1,090 ","1,125 ",7.2 ,3.9 ,"4,267 ","3,819 ",11.7 
Aportaciones al IPAB ,976 ,"1,000 ",841 ,(2.4) ,16.1 ,"3,859 ","3,353 ",15.1 
Traslado de valores ,265 ,411 ,349 ,(35.5) ,(24.1) ,"1,263 ","1,248 ",1.2 
Otros ,953 ,979 ,"1,248 ",(2.7) ,(23.6) ,"3,720 ","4,286 ",(13.2) 
Total ,"11,102 ","10,429 ","10,344 ",6.5 ,7.3 ,"40,915 ","38,865 ",5.3 


Table
,4T20 ,3T20 ,4T19 ,12M20 ,12M19 
Personal ,36.2 ,36.1 ,37.2 ,37.3 ,40.4 
Gastos de tecnología ,15.7 ,13.9 ,11.3 ,13.2 ,10.4 
Depreciación y amortización ,10.5 ,10.5 ,10.9 ,10.4 ,9.8 
IPAB ,8.8 ,9.6 ,8.1 ,9.4 ,8.6 
Otros ,8.6 ,9.4 ,12.0 ,9.1 ,11.1 
Impuestos y derechos ,6.4 ,4.5 ,4.7 ,5.8 ,5.1 
Rentas ,5.8 ,6.1 ,6.3 ,6.3 ,6.3 
Honorarios profesionales ,3.8 ,3.1 ,3.2 ,2.8 ,2.0 
Traslado de valores ,2.4 ,3.9 ,3.4 ,3.1 ,3.2 
Gastos de promoción y publicidad ,1.4 ,2.4 ,2.1 ,2.1 ,2.3 
Tarjeta de crédito ,0.4 ,0.5 ,0.8 ,0.5 ,0.8 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


