Table
18 ,Tasa de interés / dividendo ,Variable 
19 ,Cláusula de cancelación de dividendos ,No 
20 ,Discrecionalidad en el pago ,Obligatorio 
21 ,Cláusula de aumento de intereses ,No 
22 ,Rendimiento / dividendos ,No Acumulable 
23 ,Convertibilidad del instrumento ,N.A 
24 ,Condiciones de convertibilidad ,N.A 
25 ,Grado de convertibilidad ,N.A 
26 ,Tasa de conversión ,N.A 
27 ,Tipo de convertibilidad del instrumento ,N.A 
28 ,Tipo de instrumento financiero de la convertibilidad ,N.A 
29 ,Emisor del instrumento ,N.A 
30 ,Cláusula de disminución de valor (Write-Down) ,No 
31 ,Condiciones para disminución de valor ,N.A 
32 ,Grado de baja de valor ,N.A 
33 ,Temporalidad de la baja de valor ,N.A 
34 ,Mecanismo de disminución de valor temporal ,N.A 
35 ,Posición de subordinación en caso de liquidación ,Acreedores en general 
36 ,Características de incumplimiento ,No 
37 ,Descripción de características de incumplimiento ,N.A 


Table
2 ,Identificador ISIN y CUSIP ,ISIN CUSIP 144A US05969BAC72 05969BAC7 Reg S USP1507SAG23 P1507SAG2 
3 ,Ley Aplicable ,"Los Instrumentos se emitieron, y se rigen, conforme a las leyes aplicables del estado de Nueva York, Estados Unidos de América, en el entendido que todas las disposiciones relacionadas con la determinación de los períodos de suspensión, eventos de actualización del supuesto de cancelación, la cancelación del pago de intereses, si ha ocurrido cualquier evento que permita una amortización anticipada, o la propia prelación y subordinación de los Instrumentos, entre otros eventos relevantes, se regirán de conformidad con las leyes de México, conforme a lo previsto en el Acta de Emisión. "
,Tratamiento Regulatorio ,
4 ,"Nivel de capital al que corresponde el Instrumento, sujeto a la transitoriedad establecida en el Artículo Tercero Transitorio, de la Resolución 50A ",N.A. 
5 ,"Nivel de capital al que corresponde el título que cumple con el anexo 1-Q, 1-R, o 1-S de la Circular Única de Bancos ",Capital Complementario. 
6 ,Nivel del Instrumento dentro del Grupo ,Deuda subordinada preferente emitida desde la Institución de Crédito del Grupo. 
7 ,Tipo de instrumento ,"Instrumentos de capital emitidos conforme a legislación extranjera, conocidos como obligaciones subordinadas preferentes. "


