Table
Millones de pesos ,Saldo dic-20 ,Fecha Emisión ,Fecha Vencimiento ,Tasa 
Notas Subordinadas Preferentes (USD) ,"14,933 ",10-mar-11 ,10-mar-21 ,6.50 
Notas Subordinadas Preferentes (USD) ,"29,861 ",28-sep-12 ,30-sep-22 ,6.75 
Notas Subordinadas Preferentes (USD) ,"3,982 ",12-nov-14 ,12-nov-29 ,5.35 
Notas Subordinadas Preferentes (USD) ,"19,909 ",17-ene-18 ,18-ene-33 ,5.13 
Notas Subordinadas Preferentes (USD) ,"14,932 ",13-sep-19 ,13-sep-34 ,5.87 
Intereses devengados no pagados ,"1,564 ",,,
Total ,"85,181 ",,,


Table
Capital Básico ,"235,404 "
Capital contable ,"241,757 "
Deducción de inversiones en instrumentos subordinados ,(137) 
Deducción de inversiones en acciones de entidades financieras ,(539) 
Gastos de organización y otros intangibles ,"(5,086) "
Pérdidas Fiscales ,(590) 
Capital Complementario ,"51,057 "
Obligaciones e instrumentos de capitalización ,"5,973 "
Emisiones posteriores al 31 diciembre 2012 que cumplen con el anexo 1 ,"38,822 "
Reservas preventivas por riesgos crediticios generales ,"2,601 "
Reservas preventivas por riesgos Met Interna ,"3,661 "
Capital Neto ,"286,461 "


