Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",4T 2019 ,1T 2020 ,2T 2020 ,3T 2020 ,4T 2020 ,12M 2019 ,12M 2020 
indicadores delnfraestructura(#) ,,,,,,,
Sucursales ,"1,860 ","1,864 ","1,866 ","1,814 ","1,746 ","1,860 ","1,746 "
Cajeros automáticos ,"13,170 ","13,066 ","13,115 ","12,923 ","12,950 ","13,170 ","12,950 "
Empleados ,,,,,,,
GFBB ,"36,771 ","37,167 ","36,683 ","36,302 ","36,111 ","36,771 ","36,111 "
BBVA México ,"33,705 ","34,118 ","33,707 ","33,347 ","33,313 ","33,705 ","33,313 "
Indicadores de Rentabilidad (%) ,,,,,,,
a) Margen de interés neto ajustado (activo productivo) ,4.9 ,3.4 ,3.4 ,4.3 ,3.1 ,4.7 ,3.8 
b) Margen de interés neto (activo total) ,6.1 ,5.7 ,4.2 ,5.0 ,5.3 ,5.9 ,5.3 
c) Eficiencia operativa ,2.9 ,2.6 ,2.4 ,2.4 ,2.5 ,2.8 ,2.6 
d) Índice de eficiencia ,36.5 ,36.6 ,42.1 ,37.0 ,37.1 ,36.3 ,38.1 
e) Índice de productividad ,42.5 ,39.0 ,34.1 ,39.8 ,43.5 ,42.1 ,39.1 
f) Rendimiento sobre capital (ROE) ,25.4 ,14.6 ,18.6 ,22.3 ,13.2 ,25.0 ,16.8 
g) Rendimiento sobre activos (ROA) ,2.6 ,1.3 ,1.6 ,2.1 ,1.3 ,2.5 ,1.7 
Indicadores de Calidad de Activos (%) ,,,,,,,
h) Índice de morosidad ,2.20 ,2.17 ,1.91 ,2.03 ,3.00 ,2.20 ,3.00 
i) Índice de cobertura ,129.3 ,148.4 ,167.6 ,160.2 ,129.0 ,129.3 ,129.0 
Indicadores de Solvencia (%) ,,,,,,,
j) Índice de capital fundamental ,12.5 ,11.5 ,12.4 ,13.5 ,14.4 ,12.5 ,14.4 
k) Índice de capital básico total ,12.5 ,11.5 ,12.4 ,13.5 ,14.4 ,12.5 ,14.4 
I) Indice de capital total ,15.6 ,15.1 ,16.0 ,16.8 ,17.5 ,15.6 ,17.5 
m) Coeficiente de Apalancamiento ,10.0 ,8.6 ,9.4 ,9.8 ,10.3 ,10.0 ,10.3 
Indicadores de Liquidez (%) ,,,,,,,
n) Índice de liquidez (requerimiento CNBV) ,73.1 ,71.9 ,71.1 ,78.4 ,76.8 ,73.1 ,76.8 
o) Liquidez (Cartera/Captación) ,103.6 ,102.1 ,99.0 ,94.6 ,91.3 ,103.6 ,91.3 
p) Coeficiente de Cobertura de Liquidez (CCL) ,145.67 ,141.88 ,159.07 ,185.24 ,190.49 ,145.67 ,190.49 


