Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Principales Magnitudes Millones de pesos ",4T 2019 ,1T 2020 ,2T 2020 ,3T 2020 ,4T 2020 ,% Var Trim ,12M 2019 ,12M 2020 ,% Var Anual 
Balance ,,,,,,,,,
Activos ,"2,363,030 ","2,789,095 ","2,708,462 ","2,709,335 ","2,704,552 ",(0.2) ,"2,363,030 ","2,704,552 ",14.5 
Cartera Vigente ,"1,218,088 ","1,314,032 ","1,281,447 ","1,253,281 ","1,211,829 ",(3.3) ,"1,218,088 ","1,211,829 ",(0.5) 
Pasivos ,"2,124,678 ","2,555,540 ","2,460,162 ","2,446,550 ","2,432,988 ",(0.6) ,"2,124,678 ","2,432,988 ",14.5 
Captación Bancaria* ,"1,176,217 ","1,286,737 ","1,294,467 ","1,324,422 ","1,326,937 ",0.2 ,"1,176,217 ","1,326,937 ",12.8 
Capital Contable ,"238,352 ","233,555 ","248,300 ","262,785 ","271,564 ",3.3 ,"238,352 ","271,564 ",13.9 
Resultados ,,,,,,,,,
Margen Financiero ,"35,739 ","36,435 ","29,089 ","34,045 ","35,914 ",5.5 ,"136,994 ","135,483 ",(1.1) 
Ingresos Totales ,"46,583 ","45,577 ","38,544 ","44,056 ","45,407 ",3.1 ,"178,563 ","173,584 ",(2.8) 
Gastos ,"(16,982) ","(16,683) ","(16,237) ","(16,317) ","(16,853) ",3.3 ,"(64,839) ","(66,090) ",1.9 
Resultados Antes de Impuestos ,"20,240 ","12,685 ","14,695 ","20,753 ","12,302 ",(40.7) ,"78,061 ","60,435 ",(22.6) 
Resultado Neto ,"14,982 ","8,620 ","11,189 ","14,252 ","8,799 ",(38.3) ,"57,002 ","42,860 ",(24.8) 
Indicadores en % ,4T ,1T ,2T ,3T ,4T ,Var ,12M ,12M ,Var 
,2019 ,2020 ,2020 ,2020 ,2020 ,Trim (pb) ,2019 ,2020 ,Anual (pb) 
Rentabilidad y Morosidad ,,,,,,,,,
ROE ,25.4 ,14.6 ,18.6 ,22.3 ,13.2 ,(914) ,25.0 ,16.8 ,(823) 
Eficiencia ,36.5 ,36.6 ,42.1 ,37.0 ,37.1 ,8 ,36.3 ,38.1 ,176 
Índice de Morosidad ,2.2 ,2.2 ,1.9 ,2.0 ,3.0 ,97 ,2.2 ,3.0 ,80 
Índice de Cobertura ,129.3 ,148.4 ,167.6 ,160.2 ,129.0 ,"(3,124) ",129.3 ,129.0 ,(27) 
Solvencia y Liquidez ,,,,,,,,,
Índice de Capital Total ,15.6 ,15.1 ,16.0 ,16.8 ,17.5 ,71 ,15.6 ,17.5 ,191 
Índice de Capital Fundamental ,12.5 ,11.5 ,12.4 ,13.5 ,14.4 ,93 ,12.5 ,14.4 ,191 
CCL* ,145.67 ,141.88 ,159.07 ,185.24 ,190.49 ,525 ,145.67 ,190.49 ,"4,482 "
Coeficiente de Apalancamiento ,10.0 ,8.6 ,9.4 ,9.8 ,10.3 ,48 ,10.0 ,10.3 ,34 
Cifras en unidades (#) ,4T ,1T ,2T ,3T ,4T ,Var ,12M ,12M ,Var 
,2019 ,2020 ,2020 ,2020 ,2020 ,Trim. (#) ,2019 ,2020 ,Anual (#) 
Infraestructura ,,,,,,,,,
Empleados ,"36,771 ","37,167 ","36,683 ","36,302 ","36,111 ",(191) ,"36,771 ","36,111 ",(660) 
Sucursales ,"1,860 ","1,864 ","1,866 ","1,814 ","1,746 ",(68) ,"1,860 ","1,746 ",(114) 
Cajeros Automáticos ,"13,170 ","13,066 ","13,115 ","12,923 ","12,950 ",27 ,"13,170 ","12,950 ",(220) 


