Table
Tenencia Accionaria ,12M 2019 ,9M 2020 ,12M 2020 
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer ",99.99% ,99.99% ,99.99% 
"Casa de Bolsa BBVA Bancomer, S.A. de C.V ",99.99% ,99.99% ,99.99% 
"Seguros BBVA Bancomer, S.A. de C.V. ",99.99% ,99.99% ,99.99% 
"Pensiones BBVA Bancomer, S.A. de C.V.* ",51.00% ,51.00% ,51.00% 
"BBVA Bancomer Seguros Salud, S.A. de C.V.* ",83.50% ,83.50% ,83.50% 
"BBVA Bancomer Operadora, S.A. de C.V. ",99.99% ,99.99% ,99.99% 
"BBVA Bancomer Servicios Administrativos, S.A. de C.V. ",99.99% ,99.99% ,99.99% 
"BBVA Bancomer Gestión, S.A. de C.V. ",99.99% ,99.99% ,99.99% 


