Table
Pérdidas por deterioro o efecto por reversión del deter ioro asociados a actividades de inversión ,351 
"Depreciaciones de inmuebles, mobiliario y equipo ","2,381 "
Amortizaciones de gastos de instalación ,"1,817 "
Amortizaciones de activos intar gibles ,1.792 
Reservas técnicas ,"(2,767) "
Provisiones ,"(1,860) "
Impuestos ala utilidad causados y diferidos ,"17,576 "
Participación en el resultado de subsidiarias no consolidadas y asociadas ,(69) 
Partic cipación no controladora ,"(1) 19,220 "
,"62,080 "
Actividades de operación ,
Cambio en cuentas de margen ,"(13,441) "
Cambio en inversiones en valores ,"(128,895) "
Cambio en deudores por reporto ,"(12,051) "
Cambio en derivados (activo) ,"(88,229) "
Cambio en cartera de crédito (neto) ,"17,216 "
Cambio en deudores por primas (neto) ,(431) 
Cambio en reaseguradores y reafianzadores (neto) (activo) ,(823) 
Cambio en beneficios por recibir en operaciones de bursatilización ,25 
Cambio en bienes adjudicados (neto) ,122 
Cambio en otros activos operativos (neto) ,"(12,400) "
Cambio en captación tradicional ,"139,465 "
Cambio en préstamos interbancarios y de otros organismos ,"(4,236) "
Cambio en reservas técnicas ,"30,169 "
Cambio en acreedores por reporto ,"31,526 "
Cambio en préstamo de valores (pasivo) ,4 
Cambio en colaterales vendidos o dados en garantía ,"16,264 "
Cambio en derivados (pasivo) ,"83,058 "
Cambio en reaseguradores y reafianzadores (neto) (pasivo) ,858 
Cambio en obligaciones subordinadas con características de pasivo ,"(14,349) "
Cambio en otros pasivos operativos ,"7,929 "
Cambio en instrumentos de cobertura (de partidas cubiertas relacionadas con actividades de operación) ,"2,606 "
Pagos de impuestos alautilidad ,"(32,176) "
Flujos netos de efectivo de actividades de operación ,"22,211 "
Actividades de inversión ,
Cobros por disposición de inmuebles mobiliario equipo ,27 
"Pagos por adquisición de inmuebles, mobiliario) equipo ","(2,385) "
Cobros por disposición de subsidiarias ,3 
Pagos por adquisición de subsidiarias ,(262) 
Cobros de dividendos en efectivo ,1 
Cobros por disposición de activos de larga duración disponibles para la venta ,(107) 
Pagos por adquisición de activos intangibles ,"(1,731) "
Flujos netos de efectivo de actividades de inversión ,"(4,454) "
Actividades definanciamiento ,
Pagos de dividendos en efectivo ,"(10,919) "
Flujos netos de efectivo de actividades de financiamiento ,(10.919) 
Incremento o disminución neta de efectivo: equivalentes de efectivo ,"68,918 "
Efectos por cambios enel valor del efectivoy equivalentes de efectivo ,4.058 
Efectivo y equivalentes de efectivo al inicio del periodo ,"150,711 "
Efectivo y equivalentes de efectivo al final del periodo ,"223,687 "


