Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, ",Grupo Financiero ,BBVA ,Bancomer ,,,
Capitalización Estimada Millones de pesos ,Diciembre 2019 ,,Septiembre 2020 ,,Diciembre 2020 ,
Capital Básico ,,"207,988 ",,"225,935 ",,"235,404 "
Capital Complementario ,,"51,995 ",,"56,086 ",,"50,909 "
Capital Neto ,,"259,983 ",,"282,021 ",,"286,313 "
,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. ,Riesgo ,Riesgo Créd. 
,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. ,Crédito ,Mdo.y Opnal. 
Activos en Riesgo ,"1,100,878 ","1,665,915 ","1,142,508 ","1,677,328 ","1,081,916 ","1,634,683 "
Capital Básico como % de los Activos en Riesgo ,18.89% ,12.48% ,19.78% ,13.47% ,21.76% ,14.40% 
Capital Complementario como % de los Activos en Riesgo ,4.72% ,3.12% ,4.91% ,3.34% ,4.71% ,3.11% 
Indice de Capitalización Total Estimado ,23.61% ,15.60% ,24.69% ,16.81% ,26.47% ,17.51% 


