Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer ",Cartera comercial y entidades financieras ,Cartera hipotecaria ,Cartera de consumo ,Total 
Movimientos de la Cartera Vencida Millones de pesos ,,,,
Saldo Final (Diciembre 2019) ,"9,518 ","7,597 ","10,340 ","27,455 "
Entradas: ,"12,321 ","10,318 ","38,946 ","61,585 "
Traspaso de vigente y reestructurados ,"12,321 ","10,318 ","38,946 ","61,585 "
Salidas: ,"(9,856) ","(8,561) ","(33,139) ","(51,556) "
Traspasos a vigente ,(484) ,"(4,488) ","(3,733) ","(8,705) "
Liquidaciones en efectivo ,"(1,998) ","(1,300) ","(3,505) ","(6,803) "
Reestructurados (Liquidaciones en efectivo) ,(148) ,(356) ,(282) ,(786) 
Dación y/o adjudicación ,(94) ,(133) ,(3) ,(230) 
Quitas ,(797) ,(270) ,"(1,665) ","(2,732) "
Castigos ,"(6,335) ","(2,014) ","(23,951) ","(32,300) "
Saldo Final (Diciembre 2020) ,"11,983 ","9,354 ","16,147 ","37,484 "


