Table
,Capital ,Contribuido ,,,,Capital Ganado ,,,,,
,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resultado neto ,Participación no controladora ,Total Capital Contable 
Saldos al 31 de Diciembre de 2019 ,"9,799 ","79,333 ",204 ,"99,568 ",82 ,(113) ,440 ,"(8,002) ","57,001 ",40 ,"238,352 "
MOVIMIENTOS INHERENTES A LAS DECISIONES DE LOS PROPIETARIOS.- ,,,,,,,,,,,
Traspaso del resultado neto a resultado de ejercicios anteriores ,,,,"57,001 ",,,,,"(57,001) ",,0 
Decreto de dividendos ,,,,"(10,919) ",,,,,,,"(10,919) "
Total ,o ,o ,o ,"46,082 ",o ,o ,o ,o ,"(57,001) ",o ,"(10,919) "
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LAUTILIDAD INTEGRAL. ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"42,860 ",,"42,860 "
Resultado por valuación de títulos disponibles para la venta ,,,,,"2,797 ",,,,,,"2,797 "
Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,,,,,,17 ,,,,,17 
Remediciones por beneficios definidos a los empleados ,,,,,,,,"(1,542) ",,,"(1,542) "
Efecto consolidación ,,,,,,,,,,(1) ,(1) 
Total ,o ,o ,o ,o ,"2,797 ",17 ,o ,"(1,542) ","42,860 ",(1) ,"44,131 "
Saldo al 31 de Diciembre de 2020 ,"9,799 ","79,333 ",204 ,"145,650 ","2,879 ",(96) ,440 ,"(9,544) ","42,860 ",39 ,"271,564 "


