Table
"Grupo Financiero BBVA Bancomer, ",S.A. de C.V. ,,,% ,,,,% 
Gastos Millones de pesos ,4T 2019 ,3T 2020 ,4T 2020 ,Var Trim ,Var Anual ,12M 2019 ,12M 2020 ,Var Anual 
Salarios y prestaciones ,"6,351 ","5,966 ","6,184 ",3.7 ,(2.6) ,"24,868 ","24,461 ",(1.6) 
Gasto de administración y operación ,"4,890 ","4,404 ","4,554 ",3.4 ,(6.9) ,"17,202 ","17,453 ",1.5 
Rentas ,"1,437 ","1,531 ","1,736 ",13.4 ,20.8 ,"5,843 ","6,382 ",9.2 
Depreciación y amortización ,"1,478 ","1,503 ","1,487 ",(1.1) ,0.6 ,"5,971 ","5,990 ",0.3 
Impuestos ,"1,426 ","1,305 ","1,263 ",(3.2) ,(11.4) ,"5,437 ","5,419 ",(0.3) 
Cuota por costo de captación (IPAB) ,"1,400 ","1,608 ","1,629 ",1.3 ,16.4 ,"5,518 ","6,385 ",15.7 
Gastos de administración y promoción ,"16,982 ","16,317 ","16,853 ",3.3 ,(0.8) ,"64,839 ","66,090 ",1.9 


