Table
Coeficiente de Cobertura de Liquidez ,4T ,2020* 
Millones de pesos ,Importe sin Ponderar (promedio) ,Importe Ponderado (promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No Aplica ,"439,512 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento Minorista No Garantizado ,"741,352 ","44,913 "
3 Financiamiento Estable ,"584,447 ","29,222 "
4 Financiamiento menos Estable ,"156,905 ","15,690 "
5 Financiamiento Mayorista No Garantizado ,"523,539 ","174,687 "
6 Depósitos Operacionales ,"272,601 ","65,673 "
7 Depósitos No Operacionales ,"245,653 ","103,729 "
8 Deuda No Garantizada ,"5,284 ","5,284 "
9 Financiamiento Mayorista Garantizado ,No Aplica ,958 
10 Requerimientos Adicionales ,"616,825 ","59,975 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"36,214 ","24,278 "
12 Salidas relacionadas a pérdidas del financiamiento de Instrumentos de deuda ,0 ,0 
13 Líneas de Crédito y Liquidez ,"580,611 ","35,697 "
14 Otras Obligaciones de Financiamiento Contractuales ,"88,373 ","9,195 "
15 Otras Obligaciones de Financiamiento Contingentes ,0 ,O 
16 TOTAL DE SALIDAS DE EFECTIVO ,No Aplica ,"289,727 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de Efectivo por Operaciones Garantizadas ,"70,253 ",0 
18 Entradas de Efectivo por Operaciones No Garantizadas ,"94,998 ","54,526 "
19 Otras entradas de Efectivo ,"4,371 ","4,371 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"169,621 ","58,896 "
21 TOTAL DE ACTIVOS LÍQUIDOS COMPUTABLES ,No Aplica ,"439,512 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No Aplica ,"230,830 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No Aplica ,190.49% 


