Table
Nivel de Mercado ,Valor Observado ,Pago de Derechos 
- ,- ,Ps.114.00 
91.33 ,3.00 ,Ps.114.00 
182.66 ,6.00 ,Ps.114.00 
273.99 ,9.00 ,Ps.114.00 
365.32 ,12.00 ,Ps.114.00 
456.65 ,15.00 ,Ps.114.00 
547.98 ,18.00 ,Ps.114.00 
639.31 ,21.00 ,Ps.114.00 
730.63 ,24.00 ,Ps.114.00 
821.96 ,27.00 ,Ps.114.00 
913.29 ,30.00 ,Ps.114.00 
"1,004.62 ",33.00 ,Ps.114.00 
"1,095.95 ",36.00 ,Ps.114.00 
"1,187.28 ",39.00 ,Ps.114.00 
"1,278.61 ",42.00 ,Ps.114.00 
"1,369.94 ",45.00 ,Ps.114.00 
"1,461.27 ",48.00 ,Ps.114.00 
"1,552.60 ",51.00 ,Ps.114.00 
"1,643.93 ",54.00 ,Ps.114.00 
"1,735.26 ",57.00 ,Ps.114.00 
"1,826.59 ",60.00 ,Ps.114.00 
"1,917.92 ",63.00 ,Ps.114.00 
"2,009.24 ",66.00 ,Ps.114.00 
"2,100.57 ",69.00 ,Ps.114.00 
"2,191.90 ",72.00 ,Ps.114.00 
"2,283.23 ",75.00 ,Ps.114.00 
"2,374.56 ",78.00 ,Ps.114.00 
"2,465.89 ",81.00 ,Ps.114.00 
"2,557.22 ",84.00 ,Ps.114.00 
"2,648.55 ",87.00 ,Ps.114.00 
"2,739.88 ",90.00 ,Ps.114.00 
"2,831.21 ",93.00 ,Ps. 111.20 
"2,922.54 ",96.00 ,Ps.107.00 


