Table
Valor Observado ,Nivel de Mercado del Activo Subyacente (NM1) ,Pago de Derechos 
1.00 ,38.3654 ,90 
6.00 ,230.1924 ,90 
11.00 ,422.0194 ,90 
16.00 ,613.8464 ,90 
21.00 ,805.6734 ,90 
26.00 ,997.5004 ,90 
31.00 ,1189.3274 ,90 
36.00 ,1381.1544 ,90 
41.00 ,1572.9814 ,90 
46.00 ,1764.8084 ,90 
51.00 ,1956.6354 ,90 
56.00 ,2148.4624 ,90 
61.00 ,2340.2894 ,90 
66.00 ,2532.1164 ,90 
71.00 ,2723.9434 ,90 
76.00 ,2915.7704 ,90 
81.00 ,3107.5974 ,90 
86.00 ,3299.4244 ,90 
91.00 ,3491.2514 ,91 
96.00 ,3683.0784 ,96 
101.00 ,3874.9054 ,125 
106.00 ,4066.7324 ,125 
111.00 ,4258.5594 ,125 


Table
"4,282.99 ",126 ,146.65 
"4,350.98 ",128 ,146.65 


