Table
HD UN Equity ,Home Depot Inc/The International ,OMC UN Equity ,Omnicom Group Inc ,JKHY UW Equity ,Jack Henry & Associates Inc 
IBM UN Equity ,Business Machines Corp ,OKE UN Equity ,ONEOK Inc ,RL UN Equity ,Ralph Lauren Corp 
CXO UN Equity ,Concho Resources Inc ,RJF UN Equity ,Raymond James Financial Inc ,BXP UN Equity ,Boston Properties Inc 
JNJ UN Equity ,Johnson & Johnson ,PH UN Equity ,Parker-Hannifin Corp ,APH UN Equity ,Amphenol Corp 
MCD UN Equity ,McDonald's Corp ,ROL UN Equity ,Rollins Inc ,ARNC UN Equity ,Arconic Inc 
MRK UN Equity ,Merk & Co Inc ,PPL UN Equity ,PPL Corp ,PXD UN Equity ,Pioneer Natural Resources Co 
MMM UN Equity ,3M Co ,EXC UN Equity ,Exelon Corp ,VLO UN Equity ,Valero Energy Corp 
AWK UN Equity ,American Water Works Co Inc ,COP UN Equity ,ConocoPhillips ,SNPS UW Equity ,Synopsys Inc 
BAC UN Equity ,Bank of America Corp ,PHM UN Equity ,PulteGroup Inc ,WU UN Equity ,Western Union Co/The 
BHGE UN Equity ,Baker Hughes a GE Co ,PNW UN Equity ,Pinnacle West Capital Corp PNC Financial ,CHRW UW Equity ,CH Robinson Worldwide Inc 
PFE UN Equity ,Pfizer Inc ,PNC UN Equity ,Services Group Inc/The ,ACN UN Equity ,Accenture PLC 
PG UN Equity ,Procter & Gamble Co/The ,PPG UN Equity ,PPG Industries Inc ,TDG UN Equity ,TransDigm Group Inc 
T UN Equity ,AT&T Inc ,PGR UN Equity ,Progressive Corp/The ,YUM UN Equity ,Yum! Brands Inc 
TRV UN Equity ,Travelers Cos Inc/The ,PEG UN Equity ,Public Service Enterprise Group Inc ,PLD UN Equity ,Prologis Inc 
UTX UN Equity ,United Technologies Corp ,RTN UN Equity ,Raytheon Co ,FE UN Equity ,FirstEnergy Corp 
ADI UW Equity ,Analog Devices Inc ,RHI UN Equity ,Robert Half International Inc ,VRSN UW Equity ,VeriSign Inc 
WMT UN Equity ,Walmart Inc ,EIX UN Equity ,Edison International ,PWR UN Equity ,Quanta Services Inc 
CSCO UW Equity ,Cisco Systems Inc ,SLB UN Equity ,Schlumberger Ltd ,HSIC UW Equity ,Henry Schein Inc 
INTC UW Equity ,Intel Corp ,SCHW UN Equity ,Charles Schwab Corp/The ,AEE UN Equity ,Ameren Corp 
GM UN Equity ,General Motors Co ,SHW UN Equity ,Sherwin-Williams Co/The ,ANSS UW Equity ,ANSYS Inc 
MSFT UW Equity ,Microsoft Corp ,SJM UN Equity ,JM Smucker Co/The ,NVDA UW Equity ,NVIDIA Corp 
DG UN Equity ,Dollar General Corp ,SNA UN Equity ,Snap-on Inc ,SEE UN Equity ,Sealed Air Corp 
CI UN Equity ,Cigna Corp ,AME UN Equity ,AMETEK Inc ,CTSH UW Equity ,Cognizant Technology Solutions Corp 
KMI UN Equity ,Kinder Morgan Inc/DE ,so UN Equity ,Southern Co/The ,SIVB UW Equity ,SVB Financial Group 
CUN Equity ,Citigroup Inc ,BBT UN Equity ,BB&T Corp ,ISRG UW Equity ,Intuitive Surgical Inc 
AIG UN Equity ,American International Group Inc ,LUV UN Equity ,Southwest Airlines Co ,AMG UN Equity ,Affiliated Managers Group Inc 


