Table
25 ,Impuestos a la utilidad diferida (a cargo) asociados a otros intangibles ,9 ,,
26 ,Pasivos del plan de pensiones por beneficios definidos sin acceso irrestricto e ilimitado ,15 ,,
27 ,Impuestos a la utilidad diferida (a cargo) asociados al plan de pensiones por beneficios definidos ,15 ,,
28 ,Impuestos a la utilidad diferida (a cargo) asociados a otros distintos a los anteriores ,21 ,,
29 ,Obligaciones subordinadas monto que cumple con el Anexo 1-R ,31 ,,
30 ,Obligaciones subordinadas sujetas a transitoriedad que computan como Capital No Fundamental ,33 ,,
31 ,Obligaciones subordinadas monto que cumple con el Anexo 1-S ,46 ,,
32 ,Obligaciones subordinadas sujetas a transitoriedad que computan como capital complementario ,47 ,,
33 ,Impuestos a la utilidad diferida (a cargo) asociados a cargos diferidos y pagos anticipados ,26 J ,,
,Capital contable ,,,
34 ,Capital contribuido que cumple con el Anexo 1-Q ,1 ,"34,989 ",BG29 
35 ,Resultado de ejercicios anteriores ,2 ,"76,678 ","BG30= 111,166 Menos: otros elementos del capital ganado 34,479, Mas: Efecto acumulado por conversión 9 "


