Table
2015 ,"1,867.61 ","2,128.28 ","678,583,526.12 "
2016 ,"1,829.08 ","2,271.72 ","673,318,164.54 "
2017 ,"2,238.83 ","2,690.16 ","567,284,554.67 "
2018 ,"2,351.10 ","2,930.75 ","647,233,054.69 "
2019 ,"2,447.89 ","3,240.02 ","572,995,440.26 "
2° Sem. 2018 ,"2,351.10 ","2,930.75 ","648,201,036.45 "
1° Sem. 2019 ,"2,447.89 ","2,954.18 ","613,839,413.34 "
2° Sem. 2019 ,"2,840.60 ","3,240.02 ","532,817,401.52 "
1° Sem. 2020 ,"2,237.40 ","3,386.15 ","844,698,219.39 "
enero 2020 ,"3,225.52 ","3,329.62 ","562,227,678.94 "
febrero 2020 ,"2,954.22 ","3,386.15 ","693,823,560.31 "
marzo 2020 ,"2,237.40 ","3,130.12 ","1,220,907,805.42 "
abril 2020 ,"2,470.50 ","2,939.51 ","839,770,336.80 "
mayo 2020 ,"2,820.00 ","3,044.31 ","750,326,285.65 "
junio 2020 ,"3,002.10 ","3,232.39 ","996,125,590.20 "


