Table
Por cobrar ,
Disponibilidades ,"1,609 "
Deudores por reporto ,974 
Operaciones con instrumentos financieros derivados (activo) ,"138,188 "
Cartera de crédito vigente ,"11,801 "
Otras cuentas por cobrar (neto) ,"25,668 "
Por pagar ,
Depósitos a plazo ,"4,890 "
Depósitos de exigibilidad inmediata ,"4,544 "
Títulos de crédito emitidos ,"1,156 "
Acreedores por reporto ,"4,928 "
Operaciones con instrumentos financieros derivados (pasivo) ,"139,903 "
Otras cuentas por pagar ,"1,696 "
Acreedores por liquidación de operaciones ,"2,545 "
Obligaciones Subordinadas en circulación ,"33,032 "
Ingresos ,
Intereses ,143 
Premios por reporto ,28 
Otros ,111 
Comisiones Netas ,"3,016 "
"Resultado por intermediación, neto ","(22,910) "
Egresos ,
Intereses ,944 
Gastos de administración ,541 
Servicios de tecnología ,"1,279 "


