Table
Porcentajes ,2T20 ,1T20 ,2T19 ,6M20 ,6M19 
Índice de morosidad ,2.51 ,2.16 ,2.23 ,2.51 ,2.23 
Índice de cobertura de cartera de crédito vencida ,138.81 ,135.17 ,136.56 ,138.81 ,136.56 
Eficiencia operativa ,2.06 ,2.44 ,2.84 ,2.08 ,2.80 
ROE ,11.77 ,15.48 ,16.85 ,13.41 ,16.38 
ROA ,0.91 ,1.35 ,1.68 ,1.03 ,1.63 
Índice de capitalización desglosado: ,,,,,
Riesgo de crédito ,25.46 ,23.31 ,24.02 ,24.52 ,24.02 
"Riesgo de crédito, mercado y operacional ",16.69 ,16.37 ,16.90 ,16.23 ,16.90 
Liquidez ,113.45 ,86.07 ,69.12 ,113.45 ,69.12 
MIN ,1.82 ,3.25 ,4.19 ,2.32 ,4.19 


