Table
28 ,Tipo de instrumento financiero en los que se convertiría el Instrumento de Capital ,Acciones Ordinarias Serie F. 
29 ,Emisor de dicho instrumento financiero ,"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México. "
30 ,Cláusula de Pérdida de Valor (Write-Down) ,No. 
31 ,Evento de Actualización del Supuesto de Pérdida de Valor ,N.A. 
32 ,Profundidad de la pérdida de valor del Instrumento ,N.A. 
33 ,Temporalidad de la baja de valor del Instrumento como consecuencia de una actualización del supuesto de pérdida de valor ,N.A. 
34 ,Mecanismo de disminución temporal de valor ,N.A. 
35 ,Prelación del Instrumento ,"Los Instrumentos representan obligaciones generales, quirografarias y subordinadas de Banco Santander México. Los Instrumentos constituyen Obligaciones Subordinadas No Preferentes y están (i) subordinados y supeditados en derecho de pago y liquidación a toda la Deuda Senior y Obligaciones Subordinadas Preferentes presentes o futuras de Banco Santander México, (ii) tienen la misma prioridad de pago y no habrá preferencia entre los mismos y con todas las demás Obligaciones Subordinadas No Preferentes, quirografarias presentes o futuras de Banco Santander México y (iii) tienen prioridad de pago únicamente respecto de todas las clases de capital social de Banco Santander México. "
36 ,"Existen características que no cumplan con los anexos 1-Q, 1-R y 1-S ",No. 
37 ,"Si afirmativo, ¿cuáles? ",N.A. 


Table
,Integración de las principales fuentes de apalancamiento ,
Referencia ,Rubro ,jun-2020 
1 ,Partidas dentro del balance (excluidos instrumentos financieros derivados y operaciones de reporto y préstamo de valores -SFT por sus siglas en inglés- pero incluidos los colaterales recibidos en garantía y registrados en el balance) ,"1,488,559 "
2 ,(Importes de los activos deducidos para determinar el capital de nivel 1 de Basilea III) ,"(49,230) "
3 ,"Exposiciones dentro del balance (Netas) (excluidos instrumentos financieros derivados y SFT, suma de las líneas 1 y 2) ","1,439,329 "
,Exposiciones a instrumentos financieros derivados ,
4 ,Costo actual de reemplazo asociado a todas las operaciones con instrumentos financieros derivados (neto del margen de variación en efectivo admisible) ,"41,442 "
5 ,"Importes de los factores adicionales por exposición potencial futura, asociados a todas las operaciones con instrumentos financieros derivados ","48,306 "
6 ,Incremento por Colaterales aportados en operaciones con instrumentos financieros derivados cuando dichos colaterales sean dados de baja del balance conforme al marco contable operativo ,


