Table
Millones de pesos ,,2T20 ,,,2T19 ,,Variación ,AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Depósitos de exigibilidad inmediata ,"479,090 ","2,583 ",2.13 ,"416,904 ","3,188 ",3.03 ,14.9 ,(19.0) ,(90) 
Depósitos a plazo ,"322,884 ","4,402 ",5.39 ,"264,051 ","4,394 ",6.58 ,22.3 ,0.2 ,(119) 
Titulos de crédito emitidos ,"83,449 ","1,256 ",5.95 ,"53,102 ",868 ,6.47 ,57.1 ,44.7 ,(52) 
Préstamos bancarios y de ,,,,,,,,,
otros organismos ,"80,100 ",946 ,4.67 ,"62,397 ","1,209 ",7.67 ,28.4 ,(21.8) ,(300) 
Obligaciones subordinadas ,"30,337 ",478 ,6.23 ,"24,857 ",388 ,6.18 ,22.0 ,23.2 ,5 
Reportos ,"273,720 ","3,787 ",5.47 ,"197,861 ","3,921 ",7.84 ,38.3 ,(3.4) ,(237) 
Gastos por intereses ,"1,269,580 ","13,452 ",4.19 ,"1,019,172 ","13,968 ",5.42 ,24.6 ,(3.7) ,(123) 


