Table
Producto ,Castigos ,Quitas ,Total ,% 
1er. Trimestre ,,,,
Créditos comerciales ,"1,150 ",91 ,"1,241 ",23.5 
Créditos a la vivienda ,211 ,14 ,225 ,4.3 
Tarjeta de crédito ,"1,958 ",47 ,"2,005 ",38.0 
Créditos al consumo ,"1,768 ",36 ,"1,804 ",34.2 
Total ,"5,087 ",188 ,"5,275 ",100.0 
2do. Trimestre ,,,,
Créditos comerciales ,"1,277 ",53 ,"1,330 ",24.4 
Créditos a la vivienda ,270 ,14 ,284 ,5.2 
Tarjeta de crédito ,"1,901 ",62 ,"1,963 ",36.1 
Créditos al consumo ,"1,852 ",12 ,"1,864 ",34.3 
Total ,"5,300 ",141 ,"5,441 ",100.0 
Acumulado 2020 ,,,,
Créditos comerciales ,"2,427 ",144 ,"2,571 ",24.0 
Créditos a la vivienda ,481 ,28 ,509 ,4.7 
Tarjeta de crédito ,"3,859 ",109 ,"3,968 ",37.0 
Créditos al consumo ,"3,620 ",48 ,"3,668 ",34.2 
Total ,"10,387 ",329 ,"10,716 ",100.0 
,,,,


Table
Créditos al consumo ,"4,700 ",0 ,0 ,"4,700 "
Media y residencial ,"5,482 ",74 ,308 ,"5,864 "
De interés social ,5 ,0 ,0 ,5 
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,"1,575 ",0 ,0 ,"1,575 "
Créditos a la vivienda ,"7,062 ",74 ,308 ,"7,444 "
Total cartera de crédito vencida ,"16,098 ","2,438 ",308 ,"18,844 "
Acontinuación se muestra un análisis de los movimientos de 2019 al 30 de junio de 2020: ,de la cartera de crédito vencida por ,el periodo ,comprendido entre ,el 31 de diciembre 
Saldo al 31 de diciembre de 2019 ,,,,"16,281 "
Más: Traspaso de cartera de crédito vigente a vencida. ,,,,"18,166 "
Salidas ,,,,
Efectivo ,,,"(1,536) ",
Normalización ,,,"(3,301) ",
Adjudicaciones ,,,(18) ,
"Fallidos, ajuste pyme y adjudicados ",,,,"(10,748) "
Ajuste por efecto cambiario ,,,,0 
Saldo al 30 de junioo de 2020 ,,,,"18,844 "
,,,,


