Table
del 1o. de enero al 30 de junio de 2020 ,,
Millones de pesos ,,
ACTIVIDADES DE OPERACIÓN ,,
Resultado neto ,,"9,644 "
Ajuste por partidas que no implican flujo de efectivo ,,
Resultado por valorización asociada a actividades de operación ,"(7,905) ",
Participación en el resultado de asociadas ,(39) ,
"Depreciaciones de inmuebles, mobiliario y equipo ",813 ,
Amortizaciones de activos intangibles ,"1,197 ",
Reconocimiento de pagos basados en acciones ,117 ,
Impuestos a la utilidad causados y diferidos ,"3,340 ",
Provisiones ,207 ,
Amortizaciones de gastos de emisión de deuda ,9 ,"(2,261) "
,,"7,383 "
ACTIVIDADES DE OPERACIÓN ,,
Cuentas de margen ,,514 
Inversiones en valores ,,"(170,065) "
Deudores por reporto ,,"(32,694) "
Derivados (activo) ,,"(224,698) "
Cartera de crédito (neto) ,,"(31,533) "
Beneficios a recibir en operaciones de bursatilización ,,3 
Bienes adjudicados ,,91 
Otros activos operativos ,,"(47,629) "
Captación ,,"132,315 "
Préstamos bancarios y de otros organismos ,,"28,099 "
Acreedores por reporto ,,"75,127 "
Colaterales vendidos o dados en garantía ,,"6,488 "
Derivados (pasivo) ,,"234,447 "
Otros pasivos operativos ,,"10,437 "
Pagos de impuestos a la utilidad ,,"(1,519) "
Flujos netos de efectivo de actividades de operación ,,"20,617 "
ACTIVIDADES DE INVERSIÓN ,,
"Cobros por disposición de inmuebles, mobiliario y equipo ",,1 
"Pagos por adquisición de inmuebles, mobiliario y equipo ",,(453) 
Pagos por adquisición de activos intangibles ,,(773) 
Pagos por adquisición de subsidiarias y asociadas ,,(784) 
Flujos netos de efectivo de actividades de inversión ,,"(2,009) "
ACTIVIDADES DE FINANCIAMIENTO ,,
"Pago de intereses sobre obligaciones subordinadas, no preferentes, perpetuas y ",,(335) 
susceptibles de convertirse en capital ,,
Pagos asociados a la recompra de acciones propias ,,(48) 
Flujos netos de efectivo de actividades de financiamiento ,,(383) 
Decremento neto de efectivo y equivalentes de efectivo ,,"(15,626) "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,,"15,626 "
Efectivo y equivalentes de efectivo al inicio del periodo ,,"85,628 "
Efectivo y equivalentes de efectivo al final del periodo ,,"85,658 "
,,


