Table
Millones de pesos ,,2020 ,,,,2019 ,,
,6M ,2T ,1T ,6M ,4T ,3T ,2T ,1T 
Ingresos por intereses ,"60,230 ","29,383 ","30,847 ","61,329 ","31,544 ","30,465 ","30,556 ","30,773 "
Gastos por intereses ,"(27,403) ","(13,452) ","(13,951) ","(28,292) ","(14,817) ","(13,876) ","(13,968) ","(14,324) "
Margen financiero ,"32,827 ","15,931 ","16,896 ","33,037 ","16,727 ","16,589 ","16,588 ","16,449 "
Estimación preventiva para riesgos crediticios ,"(13,515) ","(8,350) ","(5,165) ","(8,772) ","(4,862) ","(4,478) ","(4,454) ","(4,318) "
Margen financiero ajustado por riesgos crediticios ,"19,312 ","7,581 ","11,731 ","24,265 ","11,865 ","12,111 ","12,134 ","12,131 "
Comisiones y tarifas cobradas ,"12,696 ","6,188 ","6,508 ","12,502 ","6,250 ","6,504 ","6,486 ","6,016 "
Comisiones y tarifas pagadas ,"(3,401) ","(1,590) ","(1,811) ","(3,379) ","(1,925) ","(1,924) ","(1,789) ","(1,590) "
Resultado por intermediación ,"4,166 ","3,283 ",883 ,896 ,"1,461 ","1,101 ",564 ,332 
Otros ingresos de la operación ,(444) ,(232) ,(212) ,(991) ,(601) ,(582) ,(440) ,(551) 
Gastos de administración y promoción ,"(19,384) ","(9,599) ","(9,785) ","(18,738) ","(10,344) ","(9,783) ","(9,482) ","(9,256) "
Resultado de la operación ,"12,945 ","5,631 ","7,314 ","14,555 ","6,706 ","7,427 ","7,473 ","7,082 "
Participación en el resultado de asociadas ,39 ,35 ,4 ,0 ,0 ,0 ,0 ,0 
Resultado antes de impuestos a la utilidad ,"12,984 ","5,666 ","7,318 ","14,555 ","6,706 ","7,427 ","7,473 ","7,082 "
Impuestos a la utilidad causados ,"(5,067) ","(2,023) ","(3,044) ","(3,033) ","(2,108) ","(1,958) ","(1,782) ","(1,251) "
Impuestos a la utilidad diferidos (neto) ,"1,727 ",587 ,"1,140 ",(623) ,318 ,48 ,(83) ,(540) 
Utilidad neta mayoritaria ,"9,644 ","4,230 ","5,414 ","10,899 ","4,916 ","5,517 ","5,608 ","5,291 "


