Table
Millones de pesos ,Total ,0-1 mes ,1-3 meses ,3-6 meses ,6-12 meses ,1-3 años ,3-5 años ,>5 años ,No sensible 
Mercado de Dinero ,"181,327 ","43,414 ",0 ,0 ,0 ,36 ,0 ,0 ,"137,876 "
Préstamos ,"977,699 ","68,651 ","103,908 ","91,846 ","129,675 ","282,060 ","127,373 ","175,009 ",(824) 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,380 
Valores ,"437,430 ",418 ,"1,222 ","3,135 ","21,854 ","120,678 ","46,258 ","113,178 ","130,687 "
Permanentes ,"16,397 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"16,397 "
Otros Activos dentro de ,,,,,,,,,
Balance ,"2,730,426 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,730,426 "
Total de Activos Dentro de ,,,,,,,,,
Balance ,"4,343,659 ","112,483 ","105,130 ","94,981 ","151,529 ","402,774 ","173,632 ","288,187 ","3,014,943 "
Mercado de Dinero ,"(246,866) ","(134,006) ",(203) ,0 ,0 ,0 ,0 ,0 ,"(112,657) "
Depósitos ,"(826,410) ","(342,043) ","(34,523) ","(25,464) ","(26,902) ","(66,004) ","(43,962) ","(287,511) ",0 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Financiamiento de largo plazo ,"(222,063) ","(8,025) ","(17,215) ","(17,457) ","(38,795) ","(76,437) ","(35,671) ","(9,205) ","(19,258) "
Capital ,"(139,897) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(139,897) "
Otros Pasivos Dentro de Balance ,"(2,723,255) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(2,723,255) "
Total Pasivos Dentro de Balance ,"(4,158,491) ","(484,074) ","(51,941) ","(42,921) ","(65,698) ","(142,441) ","(79,634) ","(296,716) ","(2,995,067) "
Descalce Total Dentro de Balance ,"185,168 ","(371,591) ","53,189 ","52,060 ","85,832 ","260,333 ","93,998 ","(8,529) ","19,876 "
Descalce Total Fuera de Balance ,"6,894 ","(19,138) ",42 ,153 ,"1,688 ","9,842 ",(123) ,(240) ,"14,670 "
Total Descalce Estructural ,,"(284,739) ","52,649 ","51,841 ","84,896 ","269,688 ","93,875 ","(8,769) ","(67,095) "
Descalce Acumulado ,,"(696,864) ","(232,091) ","(180,250) ","(232,565) ","174,334 ","268,209 ","259,440 ","192,345 "


Table
31/03/2020 ,Plazo ,Monto 
Millones de pesos ,,
Consolidado ,90 días ,"199,779 "
Moneda Nacional ,90 días ,"91,396 "
Moneda Extranjera ,30 días ,"102,059 "


