Table
36 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo ,3 ,,
37 ,Otros elementos del capital ganado distintos a los anteriores ,3 ,"34,479 ","BG30= 111,166 Menos: Resultado de ejercicios anteriores 76,678 Mas: Efecto acumulado por conversión 9 "
38 ,Capital contribuido que cumple con el Anexo 1-R ,31 ,"11,535 ","BG26=41,957 Menos: Obligaciones subordinadas no convertibles a Capital 30,421 "
39 ,Capital contribuido que cumple con el Anexo 1-S ,46 ,"30,421 ","BG26=41,957 Menos: Obligaciones subordinadas convertibles a Capital 11,535 "
40 ,Resultado por valuación de instrumentos para cobertura de flujo de efectivo de partidas no registradas a valor razonable ,"03, 11 ",,
41 ,Efecto acumulado por conversión ,"3, 26 A ",,
42 ,Resultado por tenencia de activos no monetarios ,"3, 26 A ",,
,Cuentas de orden ,,,
43 ,Posiciones en Esquemas de Primeras Pérdidas ,26 K ,,
,Conceptos regulatorios no considerados en el balance general ,,,
44 ,Reservas pendientes de constituir ,12 ,,
45 ,Utilidad o incremento al valor de los activos por adquisición de posiciones de bursatilizaciones (Instituciones Originadoras) ,26-C ,,
46 ,Operaciones que contravengan las disposiciones ,26 I ,,
47 ,Operaciones con Personas Relacionadas Relevantes ,26-M ,,
48 ,Derogado ,,,


