Table
pesos ,Capital ,contribuido ,,,,Capital ,ganado ,,,,
CONCEPTO ,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resulta- do neto ,Participación no controladora ,Total capital contable 
SALDOS AL 31 DE DICIEMBRE DE 2019 ,"29,799 ","5,109 ","23,845 ","57,617 ","2,177 ",(249) ,9 ,(986) ,"21,332 ",42 ,"138,695 "
MOVIMIENTOS INHERENTES A LOS ACCIONISTAS ,,,,,,,,,,,
Aplicación de resultados 2019 a resultado ,,,,,,,,,,,
de ejercicios anteriores ,,,"1,601 ","19,731 ",,,,,"(21,332) ",,0 
TOTAL ,0 ,0 ,"1,601 ","19,731 ",0 ,0 ,0 ,0 ,"(21,332) ",0 ,0 
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL ,,,,,,,,,,,
Resultado por valuación de títulos ,,,,,,,,,,,
disponibles para venta ,,,,,(661) ,,,,,,(661) 
Resultados por valuación de instrumentos ,,,,,,,,,,,
de cobertura de flujos de efectivo ,,,,,,(855) ,,,,,(855) 
Reconocimiento de pagos basados en ,,,,,,,,,,,
acciones ,,117 ,,,,,,,,,117 
Acciones en tesorería ,,(48) ,,,,,,,,,(48) 
Intereses sobre obligaciones subordinadas ,,,,,,,,,,,
perpetuas no preferentes convertibles a ,,,,,,,,,,,
capital ,,,,(335) ,,,,,,,(335) 
Remediciones por beneficios definidos a ,,,,,,,,,,,
los empleados ,,,,,,,,(15) ,,,(15) 
Resultado neto ,,,,,,,,,"9,644 ",,"9,644 "
Participación no controladora ,,,,,,,,,,(6) ,(6) 
TOTAL ,0 ,69 ,0 ,(335) ,(661) ,(855) ,0 ,(15) ,"9,644 ",(6) ,"7,841 "
SALDOS AL 30 JUNIO DE 2020 ,"29,799 ","5,178 ","25,446 ","77,013 ","(1,516) ","(1,104) ",9 ,"(1,001) ","9,644 ",36 ,"146,536 "


