Table
Grupo III ,(ponderados al 100%) ,"23,648 ","1,892 "
Grupo III ,(ponderados al 115%) ,0 ,0 
Grupo III ,(ponderados al 120%) ,0 ,0 
Grupo III ,(ponderados al 138%) ,0 ,0 
Grupo III ,(ponderados al 150%) ,0 ,0 
Grupo III ,(ponderados al 172.5%) ,0 ,0 
Grupo IV ,(ponderados al 0%) ,0 ,0 
Grupo IV ,(ponderados al 20%) ,"7,437 ",595 
Grupo V ,(ponderados al 10%) ,0 ,0 
Grupo V ,(ponderados al 20%) ,"8,561 ",685 
Grupo V ,(ponderados al 50%) ,0 ,0 
Grupo V ,(ponderados al 115%) ,0 ,0 
Grupo V ,(ponderados al 150%) ,0 ,0 
Grupo VI ,(ponderados al 20%) ,0 ,0 
Grupo VI ,(ponderados al 50%) ,"23,216 ","1,857 "
Grupo VI ,(ponderados al 75%) ,"14,970 ","1,198 "
Grupo VI ,(ponderados al 100%) ,"59,311 ","4,745 "
Grupo VI ,(ponderados al 120%) ,0 ,0 
Grupo VI ,(ponderados al 150%) ,0 ,0 
Grupo VI ,(ponderados al 172.5%) ,0 ,0 
Grupo VII-A ,(ponderados al 10%) ,0 ,0 
Grupo VII-A ,(ponderados al 11.5%) ,0 ,0 
Grupo VII-A ,(ponderados al 20%) ,"4,071 ",326 
Grupo VII-A ,(ponderados al 23%) ,0 ,0 
Grupo VII-A ,(ponderados al 50%) ,567 ,45 
Grupo VII-A ,(ponderados al 57.5%) ,0 ,0 
Grupo VII-A ,(ponderados al 100%) ,"165,635 ","13,251 "
Grupo VII-A ,(ponderados al 115%) ,0 ,0 
Grupo VII-A ,(ponderados al 120%) ,0 ,0 
Grupo VII-A ,(ponderados al 138%) ,0 ,0 
Grupo VII-A ,(ponderados al 150%) ,2 ,0 
Grupo VII-A ,(ponderados al 172.5%) ,0 ,0 
Grupo VII-B ,(ponderados al 0%) ,0 ,0 
Grupo VII-B ,(ponderados al 20%) ,44 ,3 
Grupo VII-B ,(ponderados al 23%) ,0 ,0 
Grupo VII-B ,(ponderados al 50%) ,8 ,1 
Grupo VII-B ,(ponderados al 57.5%) ,"9,792 ",783 
Grupo VII-B ,(ponderados al 100%) ,"46,619 ","3,730 "
Grupo VII-B ,(ponderados al 115%) ,112 ,9 
Grupo VII-B ,(ponderados al 120%) ,0 ,0 
Grupo VII-B ,(ponderados al 138%) ,0 ,0 
Grupo VII-B ,(ponderados al 150%) ,0 ,0 
Grupo VII-B ,(ponderados al 172.5%) ,0 ,0 
Grupo VIII ,(ponderados al 115%) ,"2,428 ",194 
Grupo VIII ,(ponderados al 150%) ,"2,879 ",230 
Grupo IX ,(ponderados al 100%) ,"46,167 ","3,693 "
Grupo IX ,(ponderados al 115%) ,0 ,0 
Grupo IX ,(ponderados al 150%) ,0 ,0 
Grupo X ,(ponderados al 1250%) ,"1,289 ",103 
Otros ,Activos (ponderados al 0%) ,0 ,0 


