Table
,,Junio 2020 ,,,Junio 2019 ,,,Junio 2018 ,
,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción ,Utilidad ,Acciones ponderadas ,Utilidad por acción 
Utilidad por acción ordinaria ,"9,644 ","6,776,874,706 ",1.42 ,"10,899 ","6,773,864,696 ",1.61 ,"9,898 ","6,777,167,728 ",1.46 
Acciones en tesorería ,,"10,119,651 ",,,"13,129,661 ",,,"9,826,629 ",
Utilidad diluida por acción ,"9,644 ","6,786,994,357 ",1.42 ,"10,899 ","6,786,994,357 ",1.61 ,"9,898 ","6,786,994,357 ",1.46 
Más (pérdida) menos (utilidad): ,,,,,,,,,
Operaciones discontinuadas ,,,,,,,,,
Utilidad continua diluida por acción ,"9,644 ","6,786,994,357 ",1.42 ,"10,899 ","6,786,994,357 ",1.61 ,"9,898 ","6,786,994,357 ",1.46 
Total de acciones en circulación al 30 de junio de 2020 ,"6,776,550,903 ",,,,,,,,


