Table
,2020 ,,,2019 ,,
,Jun ,Mar ,Dic ,Sep ,Jun ,Mar 
Cuentas de orden ,,,,,,
Activos y pasivos contingentes ,60 ,60 ,58 ,50 ,46 ,46 
Compromisos crediticios ,"241,991 ","239,348 ","216,574 ","232,458 ","214,277 ","231,994 "
Bienes en fideicomiso o mandato ,"203,887 ","182,285 ","185,620 ","187,586 ","179,341 ","177,672 "
Fideicomisos ,"203,288 ","181,595 ","184,868 ","186,678 ","177,240 ","175,516 "
Mandatos ,599 ,690 ,752 ,908 ,"2,101 ","2,156 "
Bienes en custodia o en administración ,"1,736,409 ","1,683,347 ","1,597,771 ","2,147,758 ","2,058,218 ","2,124,474 "
Colaterales recibidos por la institución ,"90,306 ","112,071 ","95,259 ","97,706 ","141,731 ","208,248 "
Colaterales recibidos y vendidos o entregados en garantía ,"33,734 ","35,501 ","77,824 ","46,861 ","49,536 ","118,896 "
Operaciones de banca de inversión por cuenta de terceros (neto) ,"100,690 ","172,343 ","176,736 ","170,777 ","111,475 ","66,018 "
Intereses devengados no cobrados derivados de cartera de crédito vencida ,890 ,879 ,818 ,854 ,859 ,803 
Otras cuentas de registro ,"1,789,945 ","1,891,589 ","1,698,449 ","1,730,053 ","1,686,189 ","1,696,042 "
,"4,197,912 ","4,317,423 ","4,049,109 ","4,614,103 ","4,441,672 ","4,624,193 "


