Table
Millones de pesos ,,,,% Variación ,
,Jun-20 ,Mar-20 ,Jun-19 ,TaT ,AaA 
Comercial ,"479,448 ","504,684 ","439,983 ",(5.0) ,9.0 
Empresas ,"214,556 ","214,054 ","188,053 ",0.2 ,14.1 
Corporativos ,"104,834 ","122,347 ","98,270 ",(14.3) ,6.7 
Pymes ,"72,198 ","74,587 ","79,491 ",(3.2) ,(9.2) 
Entidades Gubernamentales y Entidades Financieras ,"87,859 ","93,696 ","74,169 ",(6.2) ,18.5 
Individuos ,"271,771 ","271,125 ","260,346 ",0.2 ,4.4 
Consumo ,"112,992 ","115,911 ","114,695 ",(2.5) ,(1.5) 
Tarjeta de crédito ,"54,242 ","57,624 ","57,476 ",(5.9) ,(5.6) 
Otros Consumo ,"58,750 ","58,287 ","57,219 ",0.8 ,2.7 
Hipotecario ,"158,779 ","155,214 ","145,651 ",2.3 ,9.0 
Total ,"751,219 ","775,809 ","700,329 ",(3.2) ,7.3 


