Table
Millones de pesos ,,,,% ,Variación ,,,% Variación 
,2T20 ,1T20 ,2T19 ,TaT ,AaA ,6M20 ,6M19 ,20/19 
Cancelación de pasivos y reservas ,43 ,80 ,71 ,(46.3) ,(39.4) ,123 ,160 ,(23.1) 
Intereses por préstamos al personal ,67 ,73 ,72 ,(8.2) ,(6.9) ,140 ,145 ,(3.4) 
Estimación para deterioro de bienes adjudicados ,(8) ,(5) ,(18) ,60.0 ,(55.6) ,(13) ,(58) ,(77.6) 
Utilidad por venta de bienes adjudicados ,21 ,275 ,43 ,(92.4) ,(51.2) ,296 ,74 ,300.0 
Asesoría técnica y servicios de tecnología ,39 ,21 ,13 ,85.7 ,200.0 ,60 ,33 ,81.8 
Gastos jurídicos y costos por ,,,,,,,,
recuperación de cartera ,(206) ,(122) ,(248) ,68.9 ,(16.9) ,(328) ,(501) ,(34.5) 
Primas pagadas NAFIN por garantía cartera PYME ,(235) ,(298) ,(198) ,(21.1) ,18.7 ,(533) ,(381) ,39.9 
Castigos y quebrantos ,(62) ,(220) ,(216) ,(71.8) ,(71.3) ,(282) ,(526) ,(46.4) 
Provisión para contingencias legales y ,,,,,,,,
fiscales ,(77) ,(91) ,(91) ,(15.4) ,(15.4) ,(168) ,(159) ,5.7 
Otros ,186 ,75 ,132 ,148.0 ,40.9 ,261 ,222 ,17.6 
Total ,(232) ,(212) ,(440) ,9.4 ,(47.3) ,(444) ,(991) ,(55.2) 


