Table
Millones de pesos ,,,,% ,Variación ,,,% Variación 
,2T20 ,1T20 ,2T19 ,TaT ,AaA ,6M20 ,6M19 ,20/19 
Margen financiero ,"15,931 ","16,896 ","16,588 ",(5.7) ,(4.0) ,"32,827 ","33,037 ",(0.6) 
Estimación preventiva para riesgos crediticios ,"(8,350) ","(5,165) ","(4,454) ",61.7 ,87.5 ,"(13,515) ","(8,772) ",54.1 
Margen financiero ajustado por riesgos crediticios ,"7,581 ","11,731 ","12,134 ",(35.4) ,(37.5) ,"19,312 ","24,265 ",(20.4) 
Comisiones y tarifas (neto) ,"4,598 ","4,697 ","4,697 ",(2.1) ,(2.1) ,"9,295 ","9,123 ",1.9 
Resultado por intermediación ,"3,283 ",883 ,564 ,271.8 ,482.1 ,"4,166 ",896 ,365.0 
Otros ingresos de la operación ,(232) ,(212) ,(440) ,9.4 ,(47.3) ,(444) ,(991) ,(55.2) 
Gastos de administración y operación ,"(9,599) ","(9,785) ","(9,482) ",(1.9) ,1.2 ,"(19,384) ","(18,738) ",3.4 
Resultado de operación ,"5,631 ","7,314 ","7,473 ",(23.0) ,(24.6) ,"12,945 ","14,555 ",(11.1) 
Participación en el resultado de asociadas ,35 ,4 ,0 ,775.0 ,0.0 ,39 ,0 ,0.0 
Resultado antes de impuestos a la utilidad ,"5,666 ","7,318 ","7,473 ",(22.6) ,(24.2) ,"12,984 ","14,555 ",(10.8) 
Impuestos a la utilidad (neto) ,"(1,436) ","(1,904) ","(1,865) ",(24.6) ,(23.0) ,"(3,340) ","(3,656) ",(8.6) 
Utilidad neta mayoritaria ,"4,230 ","5,414 ","5,608 ",(21.9) ,(24.6) ,"9,644 ","10,899 ",(11.5) 
Tasa efectiva de impuestos (%) ,25.34 ,26.02 ,24.96 ,,,25.72 ,25.12 ,


