Table
61 ,Capital Común de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,11.64% 
62 ,Capital de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,13.03% 
63 ,Capital Total (como porcentaje de los activos ponderados por riesgo totales) ,16.69% 
64 ,"Suplemento específico institucional (al menos deberá constar de: el requerimiento de capital común de nivel 1 más el colchón de conservación de capital, más el colchón contracíclico, más el colchón D-SIB; expresado como porcentaje de los activos ponderados por riesgo totales) ",15.34% 
65 ,del cual: Suplemento de conservación de capital ,2.50% 
66 ,del cual: Suplemento contracíclico bancario específico ,
67 ,del cual: Suplemento de bancos globales sistémicamente importantes (D-SIB) ,1.20% 
68 ,Capital Común de Nivel 1 disponible para cubrir los suplementos (como porcentaje de los activos ponderados por riesgo totales) ,4.64% 
,Mínimos nacionales (en caso de ser diferentes a los de Basilea 3) ,
69 ,Razón mínima nacional de CET1 (si difiere del mínimo establecido por Basilea 3) ,
70 ,Razón mínima nacional de T1 (si difiere del mínimo establecido por Basilea 3) ,
71 ,Razón mínima nacional de TC (si difiere del mínimo establecido por Basilea 3) ,
,Cantidades por debajo de los umbrales para deducción (antes de la ponderación por riesgo) ,
72 ,Inversiones no significativas en el capital de otras instituciones financieras ,
73 ,Inversiones significativas en acciones comunes de instituciones financieras ,
74 ,Derechos por servicios hipotecarios (netos de impuestos a la utilidad diferidos a cargo) ,
75 ,Impuestos a la utilidad diferidos a favor derivados de diferencias temporales (netos de impuestos a la utilidad diferidos a cargo) ,"9,505 "
,Límites aplicables a la inclusión de reservas en el capital de nivel 2 ,
76 (conservador) ,Reservas elegibles para su inclusión en el capital de nivel 2 con respecto a las exposiciones sujetas a la metodología estandarizada (previo a la aplicación del límite) ,
77 (conservador) ,Límite en la inclusión de provisiones en el capital de nivel 2 bajo la metodología estandarizada ,
78 ,Reservas elegibles para su inclusión en el capital de nivel 2 con respecto a las exposiciones sujetas a riesgos de crédito (previo a la aplicación del límite) ,
79 ,Límite en la inclusión de reservas en el capital de nivel 2 bajo la metodología de calificaciones internas ,
,Instrumentos de capital sujetos a eliminación gradual (aplicable únicamente entre el 1 de enero de 2018 y el 1 de enero de 2022) ,
80 ,Límite actual de los instrumentos de CET1 sujetos a eliminación gradual ,
81 ,Monto excluido del CET1 debido al límite (exceso sobre el límite después de amortizaciones y vencimientos) ,
82 ,Límite actual de los instrumentos AT1 sujetos a eliminación gradual ,
83 ,Monto excluido del AT1 debido al límite (exceso sobre el límite después de amortizaciones y vencimientos) ,
84 ,Límite actual de los instrumentos T2 sujetos a eliminación gradual ,
85 ,Monto excluido del T2 debido al límite (exceso sobre el límite después de amortizaciones y vencimientos) ,


