Table
,2T20 ,1T20 ,2T19 ,6M20 ,6M19 
Seguros ,29.1 ,25.5 ,28.9 ,27.3 ,27.3 
Tarjetas de crédito ,25.3 ,27.3 ,27.6 ,26.3 ,28.9 
Servicios de cobros y pagos ,11.1 ,12.7 ,11.0 ,11.9 ,11.0 
Manejo de cuentas ,13.9 ,13.8 ,12.7 ,13.9 ,12.8 
Asesoría técnica y ofertas públicas ,9.3 ,9.3 ,6.9 ,9.3 ,7.3 
Fondos de inversión ,8.6 ,8.4 ,8.4 ,8.5 ,8.4 
Comercio exterior ,8.5 ,8.5 ,7.5 ,8.5 ,7.3 
Compra venta de valores y operaciones de mercado de dinero ,4.1 ,4.5 ,4.5 ,4.3 ,4.1 
Negociación de cheques ,0.6 ,0.9 ,1.3 ,0.7 ,1.3 
Corresponsalías bancarias ,(3.8) ,(4.5) ,(4.2) ,(4.1) ,(4.1) 
Otras ,(6.7) ,(6.4) ,(4.6) ,(6.6) ,(4.3) 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


