Table
10.12 ,25.00 ,Ps.90.00 
12.14 ,30.00 ,Ps.90.00 
14.16 ,35.00 ,Ps.90.00 
16.19 ,40.00 ,Ps.90.00 
18.21 ,45.00 ,Ps.90.00 
20.24 ,50.00 ,Ps.90.00 
22.26 ,55.00 ,Ps.90.00 
24.28 ,60.00 ,Ps.90.00 
26.31 ,65.00 ,Ps.90.00 
28.33 ,70.00 ,Ps.90.00 
30.35 ,75.00 ,Ps.90.00 
32.38 ,80.00 ,Ps.90.00 
34.40 ,85.00 ,Ps.90.00 
36.42 ,90.00 ,Ps.90.00 
38.45 ,95.00 ,Ps.95.00 
40.47 ,100.00 ,Ps.100.00 
42.49 ,105.00 ,Ps.107.50 
43.30 ,107.00 ,Ps.110.50 
44.52 ,110.00 ,Ps.115.00 
45.33 ,112.00 ,Ps.118.00 
46.14 ,114.00 ,Ps.110.00 
48.16 ,119.00 ,Ps.110.00 
50.18 ,124.00 ,Ps.110.00 
52.21 ,129.00 ,Ps.110.00 
54.23 ,134.00 ,Ps.110.00 
56.25 ,139.00 ,Ps.110.00 
58.28 ,144.00 ,Ps.110.00 
60.30 ,149.00 ,Ps.110.00 
62.32 ,154.00 ,Ps.110.00 
64.35 ,159.00 ,Ps.110.00 
66.37 ,164.00 ,Ps.110.00 
68.39 ,169.00 ,Ps.110.00 
70.42 ,174.00 ,Ps.110.00 
72.44 ,179.00 ,Ps.110.00 
74.46 ,184.00 ,Ps.110.00 
76.49 ,189.00 ,Ps.110.00 
78.51 ,194.00 ,Ps.110.00 
80.54 ,199.00 ,Ps.110.00 
82.56 ,204.00 ,Ps.110.00 
84.58 ,209.00 ,Ps.110.00 
86.61 ,214.00 ,Ps.110.00 
88.63 ,219.00 ,Ps.110.00 


