Table
de Garantía ,,2T21 ,
Tipo (Millones de pesos) ,Banorte ,Arrendadora y Factor** ,GFNorte* 
Cartera Total ,"786,651 ","32,029 ","805,746 "
Cartera Cubierta por Tipo de Garantía ,,,
Garantías Reales Financieras ,"14,000 ",0 ,"14,000 "
Garantías Reales No Financieras ,"464,980 ","6,759 ","471,739 "
Pari Passu ,"34,176 ",0 ,"34,176 "
Primeras Pérdidas ,"17,988 ",0 ,"17,988 "
Garantías Personales ,"24,710 ","3,061 ","27,771 "
Cartera Total Cubierta ,"555,853 ","9,820 ","565,673 "


