Table
,Banco y ,Sofomes 
Componentes del CCL (Millones de pesos) ,Importe Sin Ponderar (Promedio) ,Importe Ponderado (Promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No aplica ,"138,335 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento minorista no garantizado ,"441,119 ","28,582 "
3 Financiamiento estable ,"310,591 ","15,530 "
4 Financiamiento menos estable ,"130,528 ","13,053 "
5 Financiamiento mayorista no garantizado ,"278,317 ","75,624 "
6 Depósitos operacionales ,"242,107 ","55,134 "
7 Depósitos no operacionales ,"35,071 ","19,351 "
8 Deuda no garantizada ,"1,139 ","1,139 "
9 Financiamiento mayorista garantizado ,"357,789 ","9,446 "
10 Requerimientos adicionales: ,"280,511 ","23,330 "
Salidas relacionadas a instrumentos financieros derivados y otros 11 requerimientos de garantías ,"19,414 ","8,685 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"261,098 ","14,645 "
14 Otras obligaciones de financiamiento contractuales ,899 ,93 
15 Otras obligaciones de financiamiento contingentes ,0 ,0 
16 TOTAL DE SALIDAS DE EFECTIVO ,No aplica ,"137,074 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de efectivo por operaciones garantizadas ,"280,602 ","13,068 "
18 Entradas de efectivo por operaciones no garantizadas ,"77,354 ","54,752 "
19 Otras entradas de efectivo ,"2,820 ","2,820 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"360,776 ","70,641 "
,,Importe Ajustado 
21 TOTAL DE ACTIVOS LIQUIDOS COMPUTABLES ,No aplica ,"138,335 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No aplica ,"66,434 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No aplica ,210.15% 


