Table
Exposiciones Brutas (Saldos) sujetas al Método Estándar y/o Modelos Internos* (Millones de pesos) ,Banorte ,Arrendadora y Factor* ,Cartera Total 
Comercial ,"68,448 ","1,176 ","69,624 "
Ingresos o Ventas anuales < 14 MM UDIS ,"68,448 ","1,176 ","69,624 "
Entidades Federativas o Municipios ,"94,656 ",175 ,"94,831 "
"Organismos Descentralizados del Gobierno Federal, Estatal y Municipal, y Empresas Productivas del Estado ","40,344 ","4,412 ","44,756 "
Proyectos con Fuente de Pago Propia ,"101,294 ",0 ,"101,294 "
Instituciones Financieras ,"20,689 ",687 ,"21,375 "
Hipotecario ,"198,091 ",0 ,"198,091 "
Consumo No Revolvente ,"55,247 ",5 ,"55,252 "
Cartera Total sujeta al Método Estándar ,"578,769 ","6,455 ","585,224 "
Comercial ,"125,376 ","25,574 ","150,950 "
Ingresos o Ventas anuales >= 14 MM UDIS ,"125,376 ","25,574 ","150,950 "
"Organismos Descentralizados del Gobierno Federal, Estatal y Municipal con ingresos o ventas anuales > = 14 MM UDIS ","15,885 ",0 ,"15,885 "
Cartera Total sujeta al Modelo Interno Básico ,"141,261 ","25,574 ","166,835 "
Consumo No Revolvente (Automotriz) ,"28,408 ",0 ,"28,408 "
Tarjeta de Crédito ,"38,213 ",0 ,"38,213 "
Cartera Total sujeta al Modelo Interno Avanzado ,"66,621 ",0 ,"66,621 "
Eliminaciones y Registros Contables ,,,"(13,018) "
Sin Calificar ,,,84 
Cartera Total ,,,"805,746 "


Table
Producto/Segmento ,,Cartera Total ,,Var. vs ,1T21 ,Var. vs ,2T20 
(Millones de pesos) ,2T20 ,1T21 ,2T21 ,Ps ,% ,Ps ,% 
Gobierno ,"162,832 ","160,234 ","154,835 ","(5,400) ",(3.4%) ,"(7,997) ",(4.9%) 
Comercial ,"188,252 ","196,215 ","197,185 ",970 ,0.5% ,"8,932 ",4.7% 
Hipotecario ,"179,587 ","193,292 ","198,091 ","4,800 ",2.5% ,"18,504 ",10.3% 
Corporativa ,"150,389 ","140,408 ","133,762 ","(6,646) ",(4.7%) ,"(16,627) ",(11.1%) 
Nómina ,"53,231 ","53,814 ","55,214 ","1,400 ",2.6% ,"1,983 ",3.7% 
Tarjeta ,"39,604 ","38,350 ","38,213 ",(137) ,(0.4%) ,"(1,391) ",(3.5%) 
Automotriz ,"26,995 ","28,622 ","28,446 ",(176) ,(0.6%) ,"1,451 ",5.4% 
Cartera Total ,"800,891 ","810,935 ","805,746 ","(5,189) ",(0.6%) ,"4,854 ",0.6% 


