Table
Estado de Resultados-GFNorte (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 ,2T21 
Ingresos por Intereses Gastos por Intereses Comisiones cobradas ,"36,519 14,237 360 ","32,350 13,032 346 ","32,987 10,149 354 ","30,296 9,324 380 ","32,142 9,405 352 ","31,016 9,260 362 "
Comisiones Pagadas ,291 ,270 ,281 ,314 ,314 ,313 
Ingresos de Intereses Netos de intereses y comisiones ,"22,351 ","19,395 ","22,911 ","21,038 ","22,775 ","21,806 "
Ingresos por Primas (Neto) ,"12,155 ","8,118 ","7,385 ","9,192 ","15,340 ","8,602 "
Incremento neto de reservas técnicas ,"7,946 ","1,216 ","4,262 ","4,368 ","11,016 ","4,983 "
"Siniestros, Reclamaciones y Otras Obligaciones ","4,592 ","5,613 ","5,433 ","6,281 ","7,097 ","5,777 "
Ingresos de Intereses Netos antes de Estim. Ptva. para Riesgos Cred. ,"21,968 ","20,683 ","20,601 ","19,580 ","20,002 ","19,649 "
Provisiones Prev. para Riesgos crediticios ,"4,344 ","8,456 ","3,138 ","5,993 ","3,215 ","2,765 "
Ingresos de Intereses Netos Ajustado por Riesgos Crediticios ,"17,623 ","12,227 ","17,463 ","13,587 ","16,788 ","16,883 "
Transferencia de fondos ,400 ,476 ,489 ,513 ,473 ,530 
Manejo de cuenta Servicios de Banca Electrónica Por créditos comerciales y vivienda ,"578 2,336 495 ","508 2,027 394 ","548 2,379 129 ","529 3,033 366 ","494 2,916 296 ","491 3,212 278 "
Por créditos de consumo y tarjeta de crédito ,"1,242 ","1,049 ","1,148 ","1,292 ","1,164 ","1,263 "
Fiduciario ,119 ,102 ,113 ,153 ,106 ,177 
Ingresos por Portafolios Inmobiliarios Fondos de Inversión ,5 461 ,11 486 ,6 501 ,19 504 ,10 484 ,23 503 
Asesoría e Intermediación financiera ,147 ,126 ,128 ,142 ,188 ,166 
Otras comisiones Cobradas ,331 ,226 ,268 ,223 ,250 ,42 
Comisiones por Servicios Cobrados ,"6,115 ","5,406 ","5,708 ","6,775 ","6,380 ","6,685 "
Cuotas de Intercambio Comisiones de Seguros Otras Comisiones Pagadas ,"1,226 473 961 ","1,018 353 966 ","1,228 317 1,066 ","1,684 227 1,264 ","1,625 339 1,202 ","1,911 236 1,248 "
Comisiones por Servicios Pagados ,"2,660 ","2,337 ","2,611 ","3,176 ","3,166 ","3,396 "
Comisiones por Servicios Netas ,"3,455 ","3,069 ","3,096 ","3,599 ","3,214 ","3,289 "
Divisas y Metales ,"1,235 ",(501) ,(309) ,"(1,483) ",575 ,(453) 
Derivados ,"(1,238) ","1,139 ",531 ,309 ,111 ,164 
Títulos ,(166) ,(111) ,80 ,92 ,(579) ,122 
Valuación Divisas y Metales ,(169) (862) ,527 774 ,302 464 ,"(1,083) 1,930 ",107 764 ,(167) 838 
Derivados ,"1,742 ",(323) ,2 ,(169) ,5 ,(10) 
Títulos ,455 ,724 ,359 ,180 ,87 ,180 
Compra-venta ,"1,335 ","1,175 ",826 ,"1,941 ",857 ,"1,008 "
Ingresos por Intermediación ,"1,166 ","1,703 ","1,128 ",858 ,964 ,840 
Recuperación de cartera de crédito ,- ,- ,- ,- ,- ,- 
Portafolios de crédito ,80 ,63 ,90 ,69 ,99 ,85 
Resultado por bienes adjudicados ,88 ,132 ,165 ,129 ,87 ,132 
Liberación de Provisiones ,- ,- ,- ,- ,- ,- 
Deterioro de Activos ,(55) ,- ,- ,- ,- ,- 
Ingresos por Arrendamiento Provenientes de Seguros Resultado por Valuación en Op. de Bursatilización ,100 211 31 ,77 322 6 ,11 198 15 ,62 317 (36) ,64 275 o ,57 195 o 
Otros (gastos) ,(128) ,541 ,178 ,319 ,298 ,141 
Total Otros Ingresos (Egresos) de la Operación ,327 ,"1,140 ",656 ,859 ,822 ,609 
Total de Ingresos No Financieros ,"4,949 ","5,911 ","4,880 ","5,315 ","5,000 ","4,739 "
Ingreso Total de Operación ,"22,572 ","18,139 ","22,343 ","18,903 ","21,788 ","21,622 "
Gasto de Personal ,"3,930 ","3,891 ","4,037 ","4,660 ","4,006 ","4,273 "
Participación de los Trabajadores en las Utilidades (P.T.U)) causado ,133 ,133 ,133 ,136 ,139 ,139 
Honorarios Pagados ,749 ,801 ,861 ,962 ,806 ,808 
Gastos de Administración y Promoción ,"2,382 ","2,032 ","2,075 ","2,141 ","2,223 ","1,914 "
"Rentas, Depreciaciones y Amortizaciones ","1,946 ","2,047 ","2,074 ","2,136 ","2,243 ","2,240 "
Otros impuestos y Gastos No deducibles ,498 ,483 ,496 ,648 ,553 ,589 
Aportación al Fobaproa o al IPAB ,828 ,919 ,951 ,931 ,912 ,889 
Total Gasto No Financiero ,"10,466 ","10,307 ","10,627 ","11,612 ","10,883 ","10,851 "
Resultado de la Operación ,"12,106 ","7,832 ","11,717 ","7,290 ","10,905 ","10,771 "
Participación en subsidiarias y asociadas no consolidadas ,353 ,648 ,492 ,509 ,429 ,675 
Resultados Antes de Impuestos a la Utilidad ,"12,459 ","8,480 ","12,208 ","7,800 ","11,334 ","11,446 "
Impuestos a la utilidad causados Impuesto al Activo ,"3,555 - ",947 - ,"2,477 - ","2,268 - ","1,909 - ","1,738 - "
Impuestos a la utilidad diferidos ,(328) ,939 ,702 ,(511) ,769 ,"1,017 "
Impuestos ,"3,228 ","1,886 ","3,178 ","1,757 ","2,678 ","2,756 "
Resultados antes de operaciones discontinuadas ,"9,231 ","6,593 ","9,030 ","6,043 ","8,656 ","8,690 "
Operaciones discontinuadas Participación no controladora ,- (113) ,- (75) ,- (124) ,- (77) ,- (112) ,- (122) 
Utilidad Neta ,"9,118 ","6,518 ","8,906 ","5,966 ","8,544 ","8,568 "


