Table
Activos Sujetos a Riesgo ,2T20 ,1T21 ,2T21 ,Var. ,VS. 
(Millones de Pesos) ,,,,1T21 ,2T20 
Total Crédito ,"697,870 ","639,919 ","606,083 ",(5.29%) ,(13.15%) 
Crédito (Cartera) ,"553,096 ","520,274 ","501,006 ",(3.70%) ,(9.42%) 
Crédito (Otros) ,"144,774 ","119,646 ","105,078 ",(12.18%) ,(27.42%) 
Total Mercado ,"126,671 ","167,719 ","175,486 ",4.63% ,38.54% 
Total Operacional ,"67,820 ","73,072 ","74,804 ",2.37% ,10.30% 
Totales ,"892,361 ","880,710 ","856,373 ",(2.76%) ,(4.03%) 


Table
,Con Reservas Adicionales ,Sin Reservas Adicionales 
,+2.26 pp ,+2.44 pp 
1. Utilidades generadas en el periodo ,+2.88 pp ,+2.88 pp 
2. Crecimiento en Activos en Riesgo - Crédito* ,+1.09 pp ,+1.07 pp 
3. Crecimiento en Activos en Riesgo - Crédito (Otros) ,+0.92 pp ,+0.92 pp 
4. Valuación de Instrumentos Financieros y Derivados de Cobertura ** ,+0.18 pp ,+0.18 pp 
5. Crecimiento en Activos en Riesgo - Operativo ,-0.15 pp ,-0.15 pp 
6. Reservas Adicionales ,-0.19 pp ,-0.00 pp 
7. Notas de Capital ,-0.20 pp ,-0.20 pp 
8. Crecimiento en Activos en Riesgo - Mercado ,- -1.02 pp ,-1.02 pp 
9. Otros efectos de Capital* ,-1.24 pp ,-1.24 pp 


Table
,,2T21 vs 1T21 
,,+0.22 pp 
,1. Utilidades generadas en el 2T21 ,+0.76 pp 
,2. Crecimiento en Activos en Riesgo - Crédito ,+0.48 pp 
,3. Crecimiento en Activos en Riesgo - Crédito (Otros) ,+0.37 pp 
,4. Valuación de Instrumentos Financieros y Derivados de Cobertura* ,+0.05 pp 
,5. Crecimiento en Activos en Riesgo - Operativo ,-0.04 pp 
,6. Crecimiento en Activos en Riesgo - Mercado ,-0.19 pp 
,7. Notas de Capital ,-0.28 pp 
,8. Inversiones Permanentes e Intangibles y otros efectos en Capital** ,-0.93 pp 


