Table
Provisiones para Crédito (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
"Comercial, Corporativo y Gobierno ","2,548 ",139 ,305 ,119% ,(88%) ,"3,456 ",444 ,(87%) 
Consumo ,"2,760 ","3,187 ","2,778 ",(13%) ,1% ,"6,355 ","5,965 ",(6%) 
"Condonaciones, Quitas y Otros ",148 ,(112) ,(317) ,(183%) ,(315%) ,(12) ,(429) ,N.A. 
Provisiones Adicionales ,"3,000 ",- ,- ,N.A. ,(100%) ,"3,000 ",- ,(100%) 
Total Provisiones ,"8,456 ","3,215 ","2,765 ",(14%) ,(67%) ,"12,800 ","5,980 ",(53%) 


Table
Ingresos No Financieros (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
Comisiones por Servicios Netas ,"3,069 ","3,214 ","3,289 ",2% ,7% ,"6,524 ","6,503 ",(0%) 
Intermediación ,"1,703 ",964 ,840 ,(13%) ,(51%) ,"2,869 ","1,804 ",(37%) 
Otros Ingresos (Egresos) de la Operación ,"1,140 ",822 ,609 ,(26%) ,(47%) ,"1,467 ","1,432 ",(2%) 
Ingresos No Financieros ,"5,911 ","5,000 ","4,739 ",(5%) ,(20%) ,"10,860 ","9,739 ",(10%) 


