Table
Ingresos de Intereses Netos (IIN) (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 ,1S20 ,1S21 ,Var. Vs. 1S20 
Ingresos por Intereses ,"31,370 ","26,739 ","26,888 ",1% ,(14%) ,"63,903 ","53,627 ",(16%) 
Gastos por Intereses ,"13,032 ","9,405 ","9,260 ",(2%) ,(29%) ,"27,269 ","18,665 ",(32%) 
Comisiones Cobradas ,346 ,352 ,362 ,3% ,5% ,706 ,714 ,1% 
Comisiones Pagadas ,270 ,314 ,313 ,(1%) ,16% ,561 ,627 ,12% 
IIN sin Seguros y Pensiones ,"18,415 ","17,372 ","17,678 ",2% ,(4%) ,"36,780 ","35,050 ",(5%) 
Ingresos por Primas (Neto) ,"8,118 ","15,340 ","8,602 ",(44%) ,6% ,"20,273 ","23,942 ",18% 
Reservas Técnicas ,"1,216 ","11,016 ","4,983 ",(55%) ,310% ,"9,162 ","15,999 ",75% 
"Siniestros, Reclamaciones y Otras Obligaciones ","5,613 ","7,097 ","5,777 ",(19%) ,3% ,"10,205 ","12,873 ",26% 
Resultado Técnico ,"1,288 ","(2,773) ","(2,158) ",22% ,(267%) ,905 ,"(4,930) ",(645%) 
Ingresos (Egresos) por Intereses Netos ,980 ,"5,403 ","4,128 ",(24%) ,321% ,"4,966 ","9,531 ",92% 
IIN de Seguros y Pensiones ,"2,268 ","2,630 ","1,971 ",(25%) ,(13%) ,"5,871 ","4,601 ",(22%) 
IIN GFNORTE ,"20,683 ","20,002 ","19,649 ",(2%) ,(5%) ,"42,651 ","39,651 ",(7%) 
Provisiones para Crédito ,"8,456 ","3,215 ","2,765 ",(14%) ,(67%) ,"12,800 ","5,980 ",(53%) 
IIN Ajustado por Riesgos Crediticios ,"12,227 ","16,788 ","16,883 ",1% ,38% ,"29,851 ","33,671 ",13% 
Activos Productivos Promedio ,"1,566,225 ","1,640,360 ","1,643,243 ",0% ,5% ,"1,523,513 ","1,638,036 ",8% 
MIN (1) ,5.3% ,4.9% ,4.8% ,,,5.6% ,4.8% ,
MIN ajustado por Provisiones de Crédito (2) ,3.1% ,4.1% ,4.1% ,,,3.9% ,4.1% ,
MIN ajustado sin Seguros y Pensiones ,5.3% ,4.8% ,4.9% ,,,5.4% ,4.9% ,
MIN de Cartera Crediticia (3) ,8.1% ,7.4% ,7.6% ,,,8.2% ,7.5% ,


