Table
SOFOM y Organizaciones Auxiliares del Crédito ,2T20 ,1T21 ,2T21 ,Var. ,Vs. ,1S20 ,1S21 ,Var. Vs. 
(Millones de Pesos) ,,,,1T21 ,2T20 ,,,1S20 
Almacenadora ,,,,,,,,
Utilidad Neta ,9 ,9 ,4 ,(60%) ,(58%) ,19 ,13 ,(31%) 
Capital Contable ,264 ,292 ,296 ,1% ,12% ,264 ,296 ,12% 
Inventarios ,"1,299 ",832 ,611 ,(27%) ,(53%) ,"1,299 ",611 ,(53%) 
Activo Total ,"1,526 ","1,033 ",764 ,(26%) ,(50%) ,"1,526 ",764 ,(50%) 
ROE ,13.6% ,12.8% ,5.1% ,(7.7 pp) ,(8.6 pp) ,14.6% ,8.9% ,(5.7 pp) 
Arrendadora y Factor (antes Sólida ,Administradora ,de Portafolios*) ,,,,,,
Utilidad Neta ,(11) ,259 ,88 ,(66%) ,910% ,(157) ,347 ,322% 
Capital Contable ,"2,855 ","9,593 ","9,682 ",1% ,239% ,"2,855 ","9,682 ",239% 
Cartera Total (1) ,195 ,"37,522 ","35,322 ",(6%) ,N.A. ,195 ,"35,322 ",N.A. 
Cartera Vencida ,0 ,350 ,340 ,(3%) ,N.A. ,0 ,340 ,N.A. 
Reservas Crediticias ,- ,525 ,433 ,(18%) ,N.A. ,- ,433 ,N.A. 
Activo Total ,"7,165 ","44,410 ","42,174 ",(5%) ,489% ,"7,165 ","42,174 ",489% 
ROE ,(1.5%) ,11.2% ,3.7% ,(7.4 pp) ,5.2 pp ,(10.8%) ,7.4% ,18.2 pp 
Fusión Sólida AyF (Ejercicio de fusión en ,la historia) ,,,,,,,
Utilidad Neta ,234 ,259 ,88 ,(66%) ,(62%) ,291 ,347 ,19% 
Capital Contable ,"9,211 ","9,593 ","9,682 ",1% ,5% ,"9,211 ","9,682 ",5% 
Cartera Total (1) ,"33,248 ","37,522 ","35,322 ",(6%) ,6% ,"33,248 ","35,322 ",6% 
Cartera Vencida ,369 ,350 ,340 ,(3%) ,(8%) ,369 ,340 ,(8%) 
Índice de Cartera Vencida ,1.1% ,0.9% ,1.0% ,0.0 pp ,(0.1 pp) ,1.1% ,1.0% ,(0.1 pp) 
Reservas Crediticias ,479 ,525 ,433 ,(18%) ,(10%) ,479 ,433 ,(10%) 
Activo Total ,"40,980 ","44,410 ","42,174 ",(5%) ,3% ,"40,980 ","42,174 ",3% 
ROE ,10.3% ,11.2% ,3.7% ,(0.7 pp) ,(0.6 pp) ,6.4% ,7.4% ,0.2 pp 
Ixe Servicios ,,,,,,,,
Utilidad Neta ,(0.5) ,(18.7) ,(3.1) ,84% ,(519%) ,(0.7) ,(21.8) ,(2912%) 
Capital Contable ,136 ,117 ,113 ,(3%) ,(17%) ,136 ,113 ,(17%) 
Activo Total ,136 ,128 ,332 ,160% ,143% ,136 ,332 ,143% 
ROE ,(1.5%) ,(59.5%) ,(10.7%) ,48.8 pp ,(9.2 pp) ,(1.1%) ,(35.8%) ,(34.7 pp) 


