Table
GFNorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 ,2T21 
ACTIVOS ,,,,,,
Disponibilidades ,"90,877 ","106,047 ","100,081 ","109,306 ","116,394 ","110,852 "
Cuentas de Margen ,"9,701 ","18,353 ","16,312 ","18,099 ","11,012 ","8,703 "
Títulos para negociar ,"238,956 ","243,834 ","223,752 ","223,390 ","260,030 ","252,901 "
Títulos disponibles para la venta ,"204,963 ","231,114 ","251,225 ","244,823 ","236,274 ","231,710 "
Títulos conservados a vencimiento ,"156,631 ","169,514 ","189,366 ","193,652 ","207,858 ","215,382 "
Inversiones en Valores ,"600,550 ","644,463 ","664,342 ","661,865 ","704,162 ","699,992 "
Valores no asignados por liquidar ,- ,- ,- ,- ,- ,- 
Deudores por reporto (saldo deudor) ,"2,810 ","1,928 ","3,797 ","4,036 ","3,148 ","2,928 "
Préstamo de Valores ,- ,- ,- ,- ,- ,- 
Con fines de negociación ,"48,940 ","61,705 ","53,819 ","48,233 ","28,458 ","24,423 "
Con fines de cobertura ,"1,292 ","2,384 ","1,885 ","2,043 ",609 ,648 
Operaciones con valores y derivadas ,,,,,,
Operaciones con Derivados ,"50,232 ","64,089 ","55,704 ","50,277 ","29,068 ","25,072 "
Operaciones con Valores y Derivadas ,"53,042 ","66,017 ","59,500 ","54,313 ","32,215 ","28,000 "
Ajustes de valuación por cobertura de activos ,65 ,62 ,58 ,54 ,51 ,47 
Créditos Comerciales ,"318,439 ","326,535 ","324,981 ","325,183 ","324,529 ","316,575 "
Créditos a Entidades Financieras ,"9,067 ","9,502 ","9,882 ","11,172 ","8,445 ","8,873 "
Créditos al Consumo ,"117,537 ","115,601 ","118,321 ","116,484 ","116,092 ","118,322 "
Créditos a la Vivienda ,"173,226 ","177,282 ","182,685 ","187,736 ","191,220 ","196,125 "
Media y Residencial ,"170,143 ","174,331 ","179,791 ","184,980 ","188,529 ","193,554 "
De interés social ,8 ,5 ,5 ,4 ,4 ,3 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,"3,075 ","2,946 ","2,889 ","2,752 ","2,687 ","2,567 "
Remodelación o mejoramiento con garantía ,,,,,,
otorgada por la banca de desarrollo o fideicomisos ,- ,- ,- ,- ,- ,- 
públicos ,,,,,,
Créditos a Entidades Gubernamentales ,"161,549 ","162,717 ","162,609 ","161,563 ","160,042 ","154,649 "
Cartera de Crédito Vigente ,"779,818 ","791,637 ","798,478 ","802,138 ","800,328 ","794,544 "
Créditos Comerciales ,"7,047 ","2,604 ","2,212 ","2,530 ","3,649 ","5,498 "
Créditos a Entidades Financieras ,4 ,- ,- ,- ,- ,- 
Créditos al Consumo ,"4,052 ","4,229 ","2,350 ","4,706 ","4,694 ","3,551 "
Créditos a la Vivienda ,"2,070 ","2,305 ","1,811 ","1,658 ","2,071 ","1,966 "
Media y Residencial ,"1,834 ","2,025 ","1,612 ","1,429 ","1,819 ","1,709 "
De interés social ,0 ,1 ,1 ,1 ,0 ,0 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,235 ,279 ,198 ,228 ,252 ,258 
Remodelación o mejoramiento con garantía ,,,,,,
otorgada por la banca de desarrollo o fideicomisos públicos ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,40 ,115 ,288 ,38 ,192 ,186 
Cartera de Crédito Vencida ,"13,212 ","9,254 ","6,660 ","8,931 ","10,607 ","11,202 "
Cartera de Crédito Total ,"793,030 ","800,891 ","805,138 ","811,070 ","810,935 ","805,746 "
Reservas Prev. Riesgos Crediticios ,"18,504 ","18,555 ","17,666 ","20,004 ","19,670 ","18,175 "
Cartera de Crédito Neto ,"774,525 ","782,337 ","787,473 ","791,066 ","791,265 ","787,571 "
Derechos de cobro adquiridos ,"1,500 ","1,438 ","1,341 ","1,617 ","1,529 ","1,421 "
Total de cartera de crédito (neto) ,"776,025 ","783,774 ","788,814 ","792,682 ","792,794 ","788,992 "
Cuentas por cobrar de Instituciones de Seguros y Pensiones ,"2,205 ","2,432 ","2,591 ","2,756 ","3,157 ","2,806 "
Deudores por Prima (Neto) ,"8,003 ","9,196 ","7,032 ","4,353 ","11,144 ","8,638 "
Ctas por cobrar a reaseguradores y reafianzadores ,"8,162 ","8,872 ","7,924 ","7,269 ","7,521 ","7,707 "
Beneficios por recibir en operaciones de Bursatilización ,161 ,156 ,151 ,110 ,2 ,- 
"Otras Cuentas por cobrar, neto ","85,131 ","50,981 ","55,704 ","42,481 ","37,992 ","49,790 "
Inventario de Mercancías ,758 ,"1,299 ","1,053 ",945 ,832 ,611 
Bienes Adjudicados (Neto) ,"1,096 ","1,075 ",976 ,"1,553 ","1,552 ","1,953 "
"Propiedades, mobiliario y equipo, neto ","19,833 ","31,151 ","31,682 ","32,627 ","32,806 ","20,502 "
Inversiones permanentes ,"13,489 ","13,894 ","14,368 ","14,804 ","13,511 ","14,155 "
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ","3,742 ",201 ,0 ,0 ,(0) ,0 
"Cargos diferidos, pagos anticipados e intangibles ","51,139 ","40,257 ","39,203 ","39,439 ","39,790 ","54,416 "
Otros activos a corto y largo plazo ,"5,300 ","5,351 ","5,515 ","5,247 ","5,272 ","5,198 "
Otros activos ,"199,020 ","164,866 ","166,199 ","151,585 ","153,579 ","165,777 "
TOTAL ACTIVOS ,"1,729,280 ","1,783,581 ","1,795,306 ","1,787,904 ","1,810,207 ","1,802,363 "


