Table
ACTIVOS ,Operadora de Fondos Banorte ,IXE Servicios ,Total ,Cargos Eliminaciones Intercompañías ,Créditos Eliminaciones Intercompañías ,Saldo Final 
Disponibilidades ,"1,409 ",40 ,"115,992 ",167 ,"5,307 ","110,852 "
Cuentas de Margen ,- ,- ,"8,703 ",- ,- ,"8,703 "
Inversiones en Valores ,- ,- ,"700,465 ",- ,473 ,"699,992 "
Títulos para negociar ,- ,- ,"252,901 ",- ,- ,"252,901 "
Títulos Disponibles para la venta ,- ,- ,"231,835 ",- ,125 ,"231,710 "
Títulos Conservados a vencimiento ,- ,- ,"215,729 ",- ,347 ,"215,382 "
Deudores por reporto (saldo deudor) ,- ,- ,"13,308 ",- ,"10,380 ","2,928 "
Derivados con fines de negociación ,- ,- ,"24,423 ",- ,- ,"24,423 "
Derivados con fines de cobertura ,- ,- ,648 ,- ,- ,648 
Ajustes de valuación por cobertura de activos ,- ,- ,47 ,- ,- ,47 
Cartera de Crédito Total ,- ,- ,"802,010 ","3,096 ","16,115 ","788,992 "
Cartera de Crédito Neto ,- ,- ,"800,589 ","3,096 ","16,115 ","787,571 "
Cartera de Crédito Vigente ,- ,- ,"807,562 ","3,096 ","16,115 ","794,544 "
Créditos Comerciales ,- ,- ,"316,454 ",604 ,483 ,"316,575 "
Créditos a Entidades Financieras ,- ,- ,"21,389 ",- ,"12,516 ","8,873 "
Créditos a Entidades Gubernamentales ,- ,- ,"155,272 ","2,492 ","3,115 ","154,649 "
Créditos al Consumo ,- ,- ,"118,322 ",- ,- ,"118,322 "
Créditos a la Vivienda ,- ,- ,"196,125 ",- ,- ,"196,125 "
Media y Residencial ,- ,- ,"193,554 ",- ,- ,"193,554 "
De interés social ,- ,- ,3 ,- ,- ,3 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,- ,"2,567 ",- ,- ,"2,567 "
Cartera de Crédito Vencida ,- ,- ,"11,202 ",- ,- ,"11,202 "
Créditos Comerciales ,- ,- ,"5,498 ",- ,- ,"5,498 "
Créditos a Entidades Financieras ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,- ,- ,186 ,- ,- ,186 
Créditos al Consumo ,- ,- ,"3,551 ",- ,- ,"3,551 "
Créditos a la Vivienda ,- ,- ,"1,966 ",- ,- ,"1,966 "
Media y Residencial ,- ,- ,"1,709 ",- ,- ,"1,709 "
De interés social ,- ,- ,0 ,- ,- ,0 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,- ,258 ,- ,- ,258 
Prov. Prev. Riesgos Crediticios ,- ,- ,"18,175 ",- ,- ,"18,175 "
Derechos de cobro adquiridos ,- ,- ,"1,421 ",- ,- ,"1,421 "
Cuentas por cobrar de Instituciones de Seguros y Pensiones ,- ,- ,"2,806 ",- ,- ,"2,806 "
Deudores por Prima (Neto) ,- ,- ,"8,638 ",- ,- ,"8,638 "
Ctas por cobrar a reaseguradores y reafianzadores ,- ,- ,"7,707 ",- ,- ,"7,707 "
Beneficios por recibir en operaciones de reporto ,- ,- ,- ,- ,- ,- 
"Otras Cuentas por cobrar, neto ",194 ,156 ,"62,379 ",- ,"12,589 ","49,790 "
Inventario de Mercancías ,- ,- ,611 ,- ,- ,611 
Bienes Adjudicados ,- ,- ,"1,953 ",- ,- ,"1,953 "
"Inmueb., Mobiliario y equipo, neto ",0 ,- ,"20,343 ",203 ,44 ,"20,502 "
Inversiones permanentes ,112 ,- ,"210,277 ","2,901 ","199,022 ","14,155 "
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",0 ,- ,"1,091 ",- ,"1,091 ",- 
Total Otros activos ,12 ,136 ,"59,798 ",- ,185 ,"59,613 "
Crédito Mercantil ,- ,- ,"26,720 ",- ,- ,"26,720 "
Intangibles ,12 ,136 ,"27,834 ",- ,138 ,"27,695 "
Otros activos ,- ,- ,"5,244 ",- ,47 ,"5,198 "
TOTAL ACTIVOS ,"1,727 ",332 ,"2,041,201 ","6,367 ","245,205 ","1,802,363 "


