Table
Créditos a PYMES (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 
Cartera Vigente ,"34,094 ","36,972 ","36,616 ",(1%) ,7% 
% de Cartera Vigente Comercial ,18.3% ,19.2% ,18.9% ,(23 pb) ,62 pb 
% de Cartera Vigente Total ,4.3% ,4.6% ,4.6% ,(1 pb) ,30 pb 
Índice de Cartera Vencida ,3.72% ,3.40% ,3.45% ,5 pb ,(27 pb) 


Table
Cartera de Crédito Vigente (Millones de Pesos) ,2T20 ,1T21 ,2T21 ,Var. 1T21 ,Vs. 2T20 
Hipotecario ,"177,282 ","191,220 ","196,125 ",3% ,11% 
Automotriz ,"26,667 ","28,247 ","28,138 ",(0%) ,6% 
Tarjeta de Crédito ,"37,443 ","35,589 ","36,334 ",2% ,(3%) 
Crédito de Nómina ,"51,491 ","52,256 ","53,850 ",3% ,5% 
Consumo ,"292,883 ","307,312 ","314,447 ",2% ,7% 
Comercial ,"186,092 ","192,834 ","193,287 ",0% ,4% 
Corporativo ,"149,945 ","140,140 ","132,162 ",(6%) ,(12%) 
Gobierno ,"162,717 ","160,042 ","154,649 ",(3%) ,(5%) 
Total ,"791,637 ","800,328 ","794,544 ",(1%) ,0% 


